UserAccountId,CertificateDegree,Major,University
UA000045,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Ishik University"
UA000046,Master,"PHYSICAL THERAPISTS","Evangelische Fachhochschule Darmstadt"
UA000047,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","University of Agriculture Faisalabad"
UA000048,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","University Goce Delcev"
UA000049,Doctor,"COMPUTER OCCUPATIONS, ALL OTHER","Universidad Técnica de Machala"
UA000050,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","Bryant and Stratton College"
UA000051,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","University of Education Hradec Kralove"
UA000052,Master,"COMPUTER SYSTEMS ANALYSTS","Syrian Virtual University"
UA000053,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Madurai Kamaraj University"
UA000054,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Baikal National University of Economics and Law"
UA000055,Doctor,"BIOMEDICAL ENGINEERS","Benedictine University"
UA000056,Doctor,"COMPUTER PROGRAMMERS","Hebei United University"
UA000057,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","University of Kerala"
UA000058,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","Instituto Politécnico de Coimbra"
UA000059,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Lahti Polytechnic"
UA000060,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Kunitachi College of Music"
UA000061,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","William Woods University"
UA000062,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","Fushun Petroleum University"
UA000063,Doctor,"COMPUTER OCCUPATIONS, ALL OTHER","Mars Hill College"
UA000064,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","Universidade de Nova Iguaçu"
UA000065,Bachelor,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS","Dr. Bhim Rao Abdekar University"
UA000066,Master,LAWYERS,"Glenville State College"
UA000067,Bachelor,"COMPUTER SYSTEMS ANALYSTS","Minhaj University Lahore"
UA000068,Master,"COMPUTER OCCUPATIONS, ALL OTHER","University of Chieti"
UA000069,Master,"COMPUTER OCCUPATIONS, ALL OTHER","School of Pharmacy, University of London"
UA000070,Doctor,"COMPUTER OCCUPATIONS, ALL OTHER","Kotelawala Defence University"
UA000071,Doctor,"FINANCIAL SPECIALISTS, ALL OTHER","Technical University of Wroclaw"
UA000072,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","Universidad del Istmo"
UA000073,Master,"MATERIALS SCIENTISTS","Moscow State University of Forestry Engineering"
UA000074,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Technical University of Wroclaw"
UA000075,Bachelor,"REPORTERS AND CORRESPONDENTS","Visvesvaraya National Institute of Technology"
UA000076,Bachelor,"MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","Universidad Nacional del Sur"
UA000077,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","Ecole Supérieure des Sciences Economiques et Commerciales"
UA000078,Bachelor,"BIOLOGICAL TECHNICIANS","Universidade Santa Úrsula"
UA000079,Bachelor,STATISTICIANS,"Universidade Paulista"
UA000080,Master,"MATERIALS ENGINEERS","Takhatmal Shrivallabh Homoeopathic Medical College"
UA000081,Master,"BUSINESS TEACHERS, POSTSECONDARY","Pes University"
UA000082,Master,"INTERNISTS, GENERAL","International University of Fundamental Studies, St. Petersburg"
UA000083,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","Belarussian State Pedagogical University M. Tanka"
UA000084,Doctor,"COMPUTER PROGRAMMERS","Universität Klagenfurt"
UA000085,Bachelor,"FINANCIAL ANALYSTS","Huron University USA in London"
UA000086,Bachelor,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE","Universidad Empresarial Siglio 21"
UA000087,Master,"ACCOUNTANTS AND AUDITORS","Universidad San Francisco Xavier de Chuquisaca"
UA000088,Master,"BUDGET ANALYSTS","Université Hassan II - Mohammadia"
UA000089,Bachelor,STATISTICIANS,"Weizmann Institute of Science"
UA000090,Bachelor,"MANAGEMENT ANALYSTS","Manipur University"
UA000091,Doctor,"COMPUTER SCIENCE TEACHERS, POSTSECONDARY","Universidad de Magallanes"
UA000092,Bachelor,"NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","Université Moulay Ismail Meknès"
UA000093,Bachelor,"LIFE SCIENTISTS, ALL OTHER","Open University of Sri Lanka"
UA000094,Master,"COMPUTER AND INFORMATION RESEARCH SCIENTISTS","North West Frontier Province Agricultural University"
UA000095,Bachelor,"COMPUTER PROGRAMMERS","Universidade Regional de Blumenau"
UA000096,Master,"ARCHITECTURAL AND ENGINEERING MANAGERS","Columbia College Hollywood"
UA000097,Master,"PUBLIC RELATIONS SPECIALISTS","Central Institute of Fisheries Education"
UA000098,Doctor,"COMPUTER SYSTEMS ANALYSTS","The College of Westchester"
UA000099,Doctor,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE","Bhupendra Narayan Mandal University"
UA000100,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","St. Petersburg State University of Aerospace Instrumentation"
UA000101,Master,"DATABASE ADMINISTRATORS","Odlar Yurdu University"
UA000102,Master,"PUBLIC RELATIONS SPECIALISTS","Henderson State Univerisity"
UA000103,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Al-Yamamah College"
UA000104,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","University of Mining and Geology "St. Ivan Rils" "
UA000105,Doctor,"PUBLIC RELATIONS SPECIALISTS","Physical Education Academy "Eugeniusz Piasecki" in Poznan"
UA000106,Bachelor,"MANAGEMENT ANALYSTS","Universidad Monsenor Oscar Arnulfo Romeo"
UA000107,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Ho Chi Minh City University of Medicine and Pharmacy"
UA000108,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","University of Science and Technology Sana'a"
UA000109,Master,"MATERIALS SCIENTISTS","Kasetsart University"
UA000110,Master,"MARKETING MANAGERS","College of Dunaujvaros"
UA000111,Doctor,ECONOMISTS,"University of Warwick"
UA000112,Doctor,"COMPUTER OCCUPATIONS, ALL OTHER","Universidad Regiomontana"
UA000113,Bachelor,LOGISTICIANS,"Chungnam National University"
UA000114,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","University of Szeged"
UA000115,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Freie Universität Berlin"
UA000116,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Ulyanovsk State Technical University"
UA000117,Bachelor,"PHYSICAL SCIENTISTS, ALL OTHER","Valparaiso University"
UA000118,Bachelor,"ENGINEERING TEACHERS, POSTSECONDARY","Illinois School of Professional Psychology - Meadows Campus"
UA000119,Doctor,"COMPUTER PROGRAMMERS","Mount Olive College"
UA000120,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","Standford University"
UA000121,Bachelor,"AGRICULTURAL ENGINEERS","Veer Kunwar Singh University"
UA000122,Master,"PUBLIC RELATIONS SPECIALISTS","Escuela Politécnica Nacional"
UA000123,Bachelor,"OPERATIONS RESEARCH ANALYSTS","Bauman Moscow State Technical University"
UA000124,Master,"MANAGEMENT ANALYSTS","International Culture University "
UA000125,Master,"MANAGEMENT ANALYSTS","Chung Hua University"
UA000126,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","Grace College"
UA000127,Doctor,"MANAGEMENT ANALYSTS","Concordia University, Portland"
UA000128,Bachelor,CURATORS,"James Cook University of North Queensland"
UA000129,Master,"CHEMICAL ENGINEERS","University of Belgrade"
UA000130,Master,"MECHANICAL ENGINEERS","Dominican College"
UA000131,Bachelor,"GRAPHIC DESIGNERS","University of New South Wales"
UA000132,Bachelor,"OPERATIONS RESEARCH ANALYSTS","Al-Baath University"
UA000133,Master,"MECHANICAL ENGINEERS","Handelshochschule Leipzig"
UA000134,Master,"MECHANICAL ENGINEERS","Regis College"
UA000135,Doctor,"MECHANICAL ENGINEERS","Kunsthochschule Berlin-Weissensee, Hochschule für Gestaltung "
UA000136,Doctor,"MECHANICAL ENGINEERS","St. Joseph College of Nursing"
UA000137,Bachelor,"MECHANICAL ENGINEERS","Ahlulbait International University"
UA000138,Bachelor,"MECHANICAL ENGINEERS","Cardinal Stefan Wyszynski University in Warsaw"
UA000139,Master,"MECHANICAL ENGINEERS","Armstrong University"
UA000140,Master,"BIOLOGICAL SCIENTISTS, ALL OTHER","Atlanta College of Art"
UA000141,Bachelor,"MECHANICAL ENGINEERS","Botswana Accountancy College"
UA000142,Bachelor,"MECHANICAL ENGINEERS","Jain Vishva Bharati Institute"
UA000143,Doctor,"MECHANICAL ENGINEERS","Bauhaus Universität Weimar"
UA000144,Bachelor,"MECHANICAL ENGINEERS","University of Texas at Tyler"
UA000145,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Indian School of Business Management and Administration"
UA000146,Master,"MECHANICAL ENGINEERS","Grodno State Medical University"
UA000147,Bachelor,"BUDGET ANALYSTS","Jordan Academy of Music / Higher Institute of Music"
UA000148,Master,"MECHANICAL ENGINEERS","Teachers College, Columbia University"
UA000149,Master,"ELECTRICAL ENGINEERS","Iceland University of Education"
UA000150,Doctor,"MECHANICAL ENGINEERS","Nanjing University of Economics"
UA000151,Doctor,"MECHANICAL ENGINEERS","Institute of Clinical Social Work"
UA000152,Bachelor,"MECHANICAL ENGINEERS","Atatürk University"
UA000153,Master,"MATERIALS SCIENTISTS","Southern Taiwan University of Technology"
UA000154,Master,"MECHANICAL ENGINEERS","Baku Slavic University"
UA000155,Bachelor,"MECHANICAL ENGINEERS","National Ilan University"
UA000156,Bachelor,"MECHANICAL ENGINEERS","Chuo Gakuin University"
UA000157,Doctor,"ELECTRICAL ENGINEERS","Shanghai Lixin University of Commerce"
UA000158,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","Institute of Information Technology"
UA000159,Bachelor,"OPERATIONS RESEARCH ANALYSTS","Yangzhou University"
UA000160,Master,"MECHANICAL ENGINEERS","Moscow State University of Forestry Engineering"
UA000161,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Shirayuri Women's College"
UA000162,Master,"MECHANICAL ENGINEERS","Fukuoka University"
UA000163,Doctor,"ENGINEERS, ALL OTHER","Universidad ICESI"
UA000164,Doctor,"NURSE PRACTITIONERS","Södertörn University College"
UA000165,Bachelor,"OPERATIONS RESEARCH ANALYSTS","Universidad de Nariño"
UA000166,Bachelor,"CHEMICAL ENGINEERS","Warburg Institute, University of London"
UA000167,Master,"CHEMICAL ENGINEERS","Universitas Merdeka Madiun"
UA000168,Master,"COMPUTER SYSTEMS ANALYSTS","Universidad Central del Caribe"
UA000169,Bachelor,"COMPUTER SYSTEMS ANALYSTS","Physical Education Academy "Eugeniusz Piasecki" in Poznan"
UA000170,Bachelor,"MANAGEMENT ANALYSTS","Bethlehem University"
UA000171,Doctor,PHYSICISTS,"DePauw University"
UA000172,Bachelor,"COMPUTER SCIENCE TEACHERS, POSTSECONDARY","Russian Academy of Theatre Arts"
UA000173,Bachelor,"CHEMICAL ENGINEERS","Ilsa Independent College"
UA000174,Master,"COMPUTER PROGRAMMERS","Higher School o Business in Tarnow"
UA000175,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","College of Notre Dame of Maryland"
UA000176,Master,"MECHANICAL ENGINEERS","University of Science & Technology Bannu"
UA000177,Master,"FINANCIAL ANALYSTS","University of Priština"
UA000178,Doctor,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER","Central Christian College of the Bible"
UA000179,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","Pamukkale University"
UA000180,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","London School of Hygiene & Tropical Medicine, University of London"
UA000181,Master,"COMPUTER SYSTEMS ANALYSTS","University of Sri Jayawardenapura"
UA000182,Master,"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND","Sri Venkateswara University"
UA000183,Bachelor,"BIOLOGICAL SCIENTISTS, ALL OTHER","Ohka Gakuen University"
UA000184,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","Renaissance University"
UA000185,Doctor,"GENERAL AND OPERATIONS MANAGERS","Université des Sciences Sociales (Toulouse I)"
UA000186,Bachelor,"DATABASE ADMINISTRATORS","Siebold University of Nagasaki"
UA000187,Bachelor,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS","Technological Education Institute of Epiros"
UA000188,Master,"COMPUTER PROGRAMMERS","Polytechnic University, Long Island Campus"
UA000189,Master,"NATURAL SCIENCES MANAGERS","Scripps College"
UA000190,Master,"COMPUTER SYSTEMS ANALYSTS","West Coast University (WCU)"
UA000191,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","Ama International University"
UA000192,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","Manchester College"
UA000193,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Bankura University"
UA000194,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","South Asian Institute of Technology And Medicine (SAITM) "
UA000195,Master,"COMPUTER SYSTEMS ANALYSTS","Hanoi National Economics University"
UA000196,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Ecole Supérieure des Techniques Industrielles et des Textiles"
UA000197,Bachelor,"COMPUTER SYSTEMS ANALYSTS","Khabarovsk State University of Technology"
UA000198,Bachelor,"FINANCIAL SPECIALISTS, ALL OTHER","University of Vaasa"
UA000199,Doctor,"ACCOUNTANTS AND AUDITORS","Kyoto Women's University"
UA000200,Bachelor,"FAMILY AND GENERAL PRACTITIONERS","State University of New York College at Geneseo"
UA000201,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Bluffton College"
UA000202,Master,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE","Universidade Lusíada de Angola"
UA000203,Bachelor,"INFORMATION SECURITY ANALYSTS","Tokyo Metropolitan Institute of Technology"
UA000204,Master,"MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","Georgetown University"
UA000205,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Shenandoah University"
UA000206,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","Free Will Baptist Bible College"
UA000207,Doctor,"COMPUTER SYSTEMS ANALYSTS","Shawnee Community College"
UA000208,Bachelor,"OPERATIONS RESEARCH ANALYSTS","University of New Hampshire"
UA000209,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","John Cabot University"
UA000210,Master,"INFORMATION SECURITY ANALYSTS","Sumy State University"
UA000211,Bachelor,"OPERATIONS RESEARCH ANALYSTS","Southeastern College of the Assemblies of God"
UA000212,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Université de Nantes"
UA000213,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","Pacific Union College"
UA000214,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","School of Management"
UA000215,Bachelor,CHEMISTS,"Can-Tho University"
UA000216,Master,"INDUSTRIAL ENGINEERS","Open University of the Netherlands"
UA000217,Master,"INDUSTRIAL PRODUCTION MANAGERS","East Africa University Bosaso"
UA000218,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Higher School o Business in Tarnow"
UA000219,Doctor,"COMPUTER SYSTEMS ANALYSTS","Fachhochschule Neubrandenburg"
UA000220,Doctor,"FAMILY AND GENERAL PRACTITIONERS","Cyryx College"
UA000221,Bachelor,"BIOCHEMISTS AND BIOPHYSICISTS","Appalachian Bible College"
UA000222,Bachelor,"FINANCIAL ANALYSTS","Bamiyan University"
UA000223,Master,"FINANCIAL SPECIALISTS, ALL OTHER","Idaho State University"
UA000224,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Telugu University"
UA000225,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Northwestern University of the Philippines"
UA000226,Bachelor,"CHEMICAL ENGINEERS","Harrington Institute of Interior Design"
UA000227,Doctor,"WEB DEVELOPERS","Universidad Católica San Antonio"
UA000228,Bachelor,"ELECTRICAL ENGINEERS","Université Hassan II - Aïn Chock"
UA000229,Bachelor,"FINANCIAL SPECIALISTS, ALL OTHER","Bard Graduate Center for Studies in the Decorative Arts"
UA000230,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Tomsk State University of Control Systems and Radioelectronics"
UA000231,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Université Ibn Zohr Agadir"
UA000232,Master,"COMPUTER SYSTEMS ANALYSTS","Institut de Recherche et d'Enseignement Supérieur aux Techniques de l'électronique"
UA000233,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Universidad Autónoma Gabriel René Moreno"
UA000234,Doctor,"COMPUTER SYSTEMS ANALYSTS","Samara State Technical University"
UA000235,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","Barber-Scotia College"
UA000236,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Southern Nazarene University"
UA000237,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","University of the Faroe Islands"
UA000238,Master,"HEALTH SPECIALTIES TEACHERS, POSTSECONDARY","CollegeAmerica, Phoenix"
UA000239,Bachelor,"FINANCIAL ANALYSTS","Herzen State Pedagogical University of Russia"
UA000240,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS, NON R&D","University Tun Abdul Razak"
UA000241,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","University of Benghazi"
UA000242,Master,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER","Universidade de Mogi das Cruzes"
UA000243,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","New College of California"
UA000244,Doctor,"PRODUCERS AND DIRECTORS","University of the Western Cape"
UA000245,Bachelor,"COMPUTER SYSTEMS ANALYSTS","National Academy for Theatre and Film Arts "Krustju Sarafov" "
UA000246,Bachelor,"OPERATIONS RESEARCH ANALYSTS","Luhansk State Medical University"
UA000247,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Kebbi State University of Science and Technology"
UA000248,Master,"FINANCIAL SPECIALISTS, ALL OTHER","Ufa State Petroleum Technological University"
UA000249,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Centro Universitario Ciudad Vieja"
UA000250,Bachelor,STATISTICIANS,"Czech Technical University of Prague"
UA000251,Doctor,"PURCHASING MANAGERS","West Bengal University of Animal and Fishery Sciences"
UA000252,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Showa University"
UA000253,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","University of Puget Sound"
UA000254,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Koya University (Kurdistan Region)"
UA000255,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","American College Of Dubai"
UA000256,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Eureka College"
UA000257,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","University of Prince Edward Island"
UA000258,Doctor,"SOFTWARE DEVELOPERS, APPLICATIONS","Malone College"
UA000259,Doctor,"INFORMATION SECURITY ANALYSTS","University of Nizwa"
UA000260,Bachelor,"COMPUTER PROGRAMMERS","Trisakti Institute of Tourism "
UA000261,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Universitas Muslim Indonesia"
UA000262,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Leyte Normal University"
UA000263,Bachelor,"PHYSICIANS AND SURGEONS, ALL OTHER","Music Academy "Stanislaw Moniuszko" in Gdansk"
UA000264,Bachelor,"MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","Universidad de Concepcion"
UA000265,Doctor,"ELECTRICAL ENGINEERS","Hochschule Darmstadt"
UA000266,Bachelor,"INTERIOR DESIGNERS","Ecole Supérieure d'Optique"
UA000267,Bachelor,"COMPUTER SYSTEMS ANALYSTS","Universidade Federal de Santa Catarina"
UA000268,Master,"ELECTRICAL ENGINEERS","Indira Gandhi Institute of Medical Sciences"
UA000269,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Bharath Institue Of Higher Education & Research"
UA000270,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Pennsylvania Institute of Technology"
UA000271,Doctor,"WEB DEVELOPERS","Tokyo University of Agriculture"
UA000272,Doctor,"COMPUTER OCCUPATIONS, ALL OTHER","Shendi University"
UA000273,Bachelor,"ELECTRICAL ENGINEERS","Allahabad Agricultural Institute, Deemed University"
UA000274,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Universidad Alas Peruanas"
UA000275,Master,"COMPUTER PROGRAMMERS","Allen University"
UA000276,Master,"COMPUTER SYSTEMS ANALYSTS","Indira Gandhi National Open University"
UA000277,Bachelor,"MANAGEMENT ANALYSTS","University of North Texas"
UA000278,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","University of Wisconsin - Platteville"
UA000279,Doctor,"COMPUTER SYSTEMS ANALYSTS","Universidad Nacional Autonoma de Nicaragua"
UA000280,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Bethune-Cookman College"
UA000281,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Ozark Christian College"
UA000282,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Dalian Polytechnic University"
UA000283,Bachelor,"ELECTRICAL ENGINEERS","Modern Institute of Managament"
UA000284,Master,"COMPUTER OCCUPATIONS, ALL OTHER","Universidade Estadual do Norte Fluminense"
UA000285,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","Khazar University"
UA000286,Doctor,LOGISTICIANS,"Universidad José Santos Ossa"
UA000287,Doctor,"COMPUTER PROGRAMMERS","Kyoto Women's University"
UA000288,Bachelor,"COMPUTER SYSTEMS ANALYSTS","Moody Bible Institute"
UA000289,Master,"SOFTWARE DEVELOPERS, APPLICATIONS","PSG College of Technology"
UA000290,Master,"COMPUTER SYSTEMS ANALYSTS","Reformed Bible College"
UA000291,Bachelor,"ACCOUNTANTS AND AUDITORS","St.Cyril and Methodius University"
UA000292,Bachelor,"SOFTWARE DEVELOPERS, APPLICATIONS","Nordakademie, Staatlich anerkannte private Fachhochschule mit dualen Studiengängen"
UA000293,Doctor,"BIOCHEMISTS AND BIOPHYSICISTS","Multimedia University of Kenya"
UA000294,Bachelor,"COMPUTER PROGRAMMERS","Hiroshima University of Economics"
UA000295,Bachelor,"COMPUTER PROGRAMMERS","Polish-Japanese Institute of Information Technology in Warsaw"
UA000296,Master,"COMPUTER SYSTEMS ANALYSTS","Universidad de Puerto Rico, Aguadilla"
UA000297,Master,"COMPUTER SYSTEMS ANALYSTS","Semnan University"
UA000298,Master,"COMPUTER SYSTEMS ANALYSTS","Mahatma Phule Agricultural University"
UA000299,Doctor,"COMPUTER SYSTEMS ANALYSTS","Nyack College"
UA000300,Doctor,"COMPUTER SYSTEMS ANALYSTS","Police Academy in Bratislava"
UA000301,Bachelor,"COMPUTER PROGRAMMERS","Fukushima University"
UA000302,Bachelor,"COMPUTER SYSTEMS ANALYSTS","Sunmoon University"
UA000303,Master,"COMPUTER SYSTEMS ANALYSTS","Zimbabwe Ezekiel Guti University"
UA000304,Master,"COMPUTER SYSTEMS ANALYSTS","Dominican University"
UA000305,Bachelor,"COMPUTER SYSTEMS ANALYSTS","Wadi International University"
UA000306,Bachelor,"COMPUTER SYSTEMS ANALYSTS","Solusi University"
UA000307,Doctor,"COMPUTER SYSTEMS ANALYSTS","Instituto Politécnico de Beja"
UA000308,Bachelor,"COMPUTER AND INFORMATION SYSTEMS MANAGERS","NAES College"
UA000309,Bachelor,"COMPUTER OCCUPATIONS, ALL OTHER","Millsaps College"
