SeekerSkillSetId,UserAccountId,SkillSetId,SkillLevel
306,UA005399,3053,II
307,UA003236,4624,III
308,UA001092,5891,II
309,UA009990,5807,I
310,UA007335,1946,II
311,UA002076,3181,III
312,UA004713,2837,II
313,UA003240,5949,I
314,UA001342,2278,II
315,UA006449,4559,III
316,UA004838,977,II
317,UA007006,2610,I
318,UA002314,894,II
319,UA009724,761,III
320,UA000968,4863,II
321,UA001037,4271,I
322,UA006717,418,II
323,UA006908,612,III
324,UA004408,4736,II
325,UA008326,1531,I
326,UA001347,1895,II
327,UA004530,646,III
328,UA002092,1668,II
329,UA005033,2231,I
330,UA009513,265,II
331,UA004854,1588,III
332,UA004926,4932,II
333,UA002062,1982,I
334,UA008965,1152,II
335,UA009413,4386,III
336,UA002595,3128,II
337,UA004942,2543,I
338,UA000895,2569,II
339,UA004789,1495,III
340,UA009352,5805,II
341,UA000147,4109,I
342,UA000070,2003,II
343,UA006373,3893,III
344,UA002197,5323,II
345,UA009749,5957,I
346,UA004339,2707,II
347,UA008036,3020,III
348,UA005195,5667,II
349,UA004829,4181,I
350,UA008377,2179,II
351,UA001026,2722,III
352,UA009171,2061,II
353,UA008368,2907,I
354,UA002592,298,II
355,UA010056,2952,III
356,UA005408,5263,II
357,UA006486,4583,I
358,UA000266,1285,II
359,UA003233,2444,III
360,UA005806,265,II
361,UA008180,2303,I
362,UA007938,3175,II
363,UA004734,1225,III
364,UA004406,541,II
365,UA004286,5254,I
366,UA003625,3427,II
367,UA001590,4394,III
368,UA005135,2969,II
369,UA003794,5544,I
370,UA002601,3289,II
371,UA000867,2660,III
372,UA003342,1200,II
373,UA007683,4281,I
374,UA004379,5121,II
375,UA003492,2941,III
376,UA004696,2885,II
377,UA007960,1642,I
378,UA002470,103,II
379,UA006601,3538,III
380,UA007913,1989,II
381,UA006461,1684,I
382,UA004319,5332,II
383,UA008874,4516,III
384,UA000407,2272,II
385,UA005295,4927,I
386,UA003739,5014,II
387,UA009013,4387,III
388,UA000947,3411,II
389,UA001279,1595,I
390,UA004078,3594,II
391,UA005133,1883,III
392,UA000825,277,II
393,UA009377,740,I
394,UA009664,5783,II
395,UA009806,4633,III
396,UA007696,4653,II
397,UA003560,725,I
398,UA009416,4376,II
399,UA009259,5496,III
400,UA008988,4237,II
401,UA009789,2477,I
402,UA006920,5624,II
403,UA006065,1358,III
404,UA006362,4459,II
405,UA002394,3891,I
406,UA002058,2809,II
407,UA008559,564,III
408,UA000391,4404,II
409,UA006721,5531,I
410,UA004273,3015,II
411,UA005396,5724,III
412,UA005762,1172,II
413,UA008250,185,I
414,UA005293,1583,II
415,UA001161,233,III
416,UA009673,1879,II
417,UA006659,5944,I
418,UA007436,2447,II
419,UA005635,3819,III
420,UA008253,2732,II
421,UA009217,3025,I
422,UA009696,2928,II
423,UA003107,2317,III
424,UA006788,1410,II
425,UA002806,1574,I
426,UA002893,1464,II
427,UA001472,201,III
428,UA003480,5237,II
429,UA007434,1476,I
430,UA008235,37,II
431,UA004900,3229,III
432,UA009160,1959,II
433,UA004509,4858,I
434,UA004823,2066,II
435,UA003346,5401,III
436,UA007807,2554,II
437,UA002839,169,I
438,UA005093,3613,II
439,UA002872,979,III
440,UA009947,3242,II
441,UA008690,5112,I
442,UA006272,334,II
443,UA003237,4250,III
444,UA007243,5409,II
445,UA005859,1637,I
446,UA002857,4578,II
447,UA009182,5735,III
448,UA008300,4706,II
449,UA006576,1576,I
450,UA002385,2069,II
451,UA004365,3952,III
452,UA004188,5361,II
453,UA007302,5497,I
454,UA006263,396,II
455,UA004551,1665,III
456,UA000445,1290,II
457,UA003861,1723,I
458,UA004124,386,II
459,UA005081,3137,III
460,UA008880,3373,II
461,UA010151,1020,I
462,UA003894,4460,II
463,UA000694,2599,III
464,UA000689,1285,II
465,UA007165,3463,I
466,UA001678,5193,II
467,UA008331,521,III
468,UA003738,4780,II
469,UA003394,2098,I
470,UA000581,3861,II
471,UA006639,4554,III
472,UA002154,2011,II
473,UA004971,1677,I
474,UA009690,2636,II
475,UA005809,3400,III
476,UA003231,4977,II
477,UA006616,1119,I
478,UA004261,1026,II
479,UA000999,5967,III
480,UA006245,1033,II
481,UA007248,3030,I
482,UA006164,2701,II
483,UA004883,5717,III
484,UA004470,2187,II
485,UA000633,1788,I
486,UA003613,109,II
487,UA007831,4655,III
488,UA000047,2792,II
489,UA009467,638,I
490,UA007500,4832,II
491,UA007390,1978,III
492,UA005446,1150,II
493,UA000342,1047,I
494,UA005581,5547,II
495,UA006725,4634,III
496,UA006606,3375,II
497,UA009351,3573,I
498,UA010152,5688,II
499,UA007581,3986,III
500,UA009885,794,II
501,UA004257,5802,I
502,UA006213,5955,II
503,UA007127,2981,III
504,UA007068,3588,II
505,UA000458,2167,I
506,UA002434,4685,II
507,UA000899,3015,III
508,UA003132,4067,II
509,UA006340,381,I
510,UA001882,5296,II
511,UA006782,4836,III
512,UA000205,206,II
513,UA006517,5589,I
514,UA005441,3707,II
515,UA002165,1527,III
516,UA008796,758,II
517,UA003038,4270,I
518,UA002068,125,II
519,UA002660,5114,III
520,UA006666,5948,II
521,UA003501,574,I
522,UA007391,4288,II
523,UA004182,2269,III
524,UA005776,5757,II
525,UA002681,1415,I
526,UA002374,1850,II
527,UA002073,247,III
528,UA001451,2803,II
529,UA003745,1099,I
530,UA002471,2629,II
531,UA003517,1287,III
532,UA005150,1530,II
533,UA004125,2078,I
534,UA008889,1052,II
535,UA009104,953,III
536,UA000119,3504,II
537,UA003886,4658,I
538,UA006236,3280,II
539,UA009561,2316,III
540,UA000258,2239,II
541,UA008520,4528,I
542,UA005967,4134,II
543,UA008314,994,III
544,UA006159,2462,II
545,UA000665,2810,I
546,UA004783,3411,II
547,UA006278,1623,III
548,UA006014,3952,II
549,UA009278,245,I
550,UA001932,1756,II
551,UA009472,377,III
552,UA007302,4205,II
553,UA006576,5966,I
554,UA009296,34,II
555,UA004998,3578,III
556,UA009259,1359,II
557,UA003825,3101,I
558,UA007249,3865,II
559,UA002046,4134,III
560,UA008251,5425,II
561,UA006219,3371,I
562,UA004576,1342,II
563,UA002550,5636,III
564,UA001232,3982,II
565,UA000175,2659,I
566,UA002438,2812,II
567,UA000899,931,III
568,UA001578,2190,II
569,UA006400,5921,I
570,UA000230,3199,II
571,UA003642,1064,III
572,UA003894,2634,II
573,UA001957,2333,I
574,UA002779,1177,II
575,UA009507,5351,III
576,UA008845,5685,II
577,UA000854,2322,I
578,UA000959,672,II
579,UA002166,343,III
580,UA007893,5900,II
581,UA006645,371,I
582,UA006688,1095,II
583,UA009355,4211,III
584,UA000858,3272,II
585,UA004209,707,I
586,UA007324,999,II
587,UA004509,2716,III
588,UA002864,3368,II
589,UA000672,5206,I
590,UA006940,333,II
591,UA007464,5473,III
592,UA003387,4425,II
593,UA007079,1380,I
594,UA003871,2683,II
595,UA001773,2769,III
596,UA000949,2623,II
597,UA007776,676,I
598,UA007909,2341,II
599,UA010102,5574,III
600,UA009100,4044,II
601,UA000648,978,I
602,UA008336,1095,II
603,UA009294,3331,III
604,UA001104,1747,II
605,UA008188,740,I
606,UA007119,1182,II
607,UA001926,5489,III
608,UA005488,2673,II
609,UA009697,3063,I
610,UA000707,4162,II
611,UA004946,1367,III
612,UA004466,5965,II
613,UA003061,5557,I
614,UA001731,2855,II
615,UA003480,3355,III
616,UA002580,5110,II
617,UA003625,675,I
618,UA003146,3697,II
619,UA006716,140,III
620,UA005373,1736,II
621,UA004054,2291,I
622,UA005659,1951,II
623,UA004735,1967,III
624,UA007958,3709,II
625,UA003705,4672,I
626,UA001289,3049,II
627,UA002450,4364,III
628,UA000198,1422,II
629,UA002869,312,I
630,UA003810,3530,II
631,UA002157,3605,III
632,UA000636,2147,II
633,UA009613,1766,I
634,UA007469,1348,II
635,UA008861,7,III
636,UA005786,5555,II
637,UA001326,3277,I
638,UA009418,1644,II
639,UA006295,5168,III
640,UA005876,136,II
641,UA001589,2668,I
642,UA010039,5760,II
643,UA001920,5413,III
644,UA009308,2552,II
645,UA004632,2564,I
646,UA004399,4347,II
647,UA001018,3604,III
648,UA005110,5493,II
649,UA004361,41,I
650,UA008318,5083,II
651,UA005940,366,III
652,UA002201,4615,II
653,UA009765,5659,I
654,UA004152,4229,II
655,UA001105,1994,III
656,UA008235,3391,II
657,UA002609,2299,I
658,UA009513,3702,II
659,UA008911,3745,III
660,UA000640,5705,II
661,UA008170,2098,I
662,UA008039,5796,II
663,UA008810,3015,III
664,UA005375,4276,II
665,UA007636,548,I
666,UA001783,1293,II
667,UA003192,2055,III
668,UA004857,4997,II
669,UA005808,1316,I
670,UA002570,5272,II
671,UA004969,2551,III
672,UA001867,4423,II
673,UA006240,772,I
674,UA006160,5299,II
675,UA008892,2239,III
676,UA005810,2929,II
677,UA000156,2404,I
678,UA005692,4862,II
679,UA005562,3156,III
680,UA005312,267,II
681,UA009778,2466,I
682,UA009077,5400,II
683,UA006896,3098,III
684,UA008109,16,II
685,UA009965,3861,I
686,UA006059,3014,II
687,UA003863,2502,III
688,UA007312,2779,II
689,UA002550,5969,I
690,UA008037,5861,II
691,UA008868,4250,III
692,UA000043,288,II
693,UA006517,14,I
694,UA003762,5906,II
695,UA005070,5772,III
696,UA006016,4880,II
697,UA001860,4011,I
698,UA001822,5930,II
699,UA001304,731,III
700,UA004947,5705,II
701,UA005454,5434,I
702,UA002642,1526,II
703,UA001510,2009,III
704,UA009011,2072,II
705,UA007085,2422,I
706,UA006544,3940,II
707,UA009442,4507,III
708,UA007861,305,II
709,UA007898,5200,I
710,UA000364,382,II
711,UA004267,1335,III
712,UA006890,127,II
713,UA008309,5120,I
714,UA004776,726,II
715,UA002987,5199,III
716,UA004951,4711,II
717,UA009666,142,I
718,UA006455,151,II
719,UA002363,1041,III
720,UA001398,1557,II
721,UA004554,3478,I
722,UA004637,2083,II
723,UA001664,2565,III
724,UA003217,2363,II
725,UA001065,4261,I
726,UA008064,5365,II
727,UA008377,703,III
728,UA007860,3420,II
729,UA000625,872,I
730,UA003005,3043,II
731,UA003592,1628,III
732,UA002787,4086,II
733,UA009645,3428,I
734,UA003718,3346,II
735,UA002258,3256,III
736,UA009335,5222,II
737,UA000033,2248,I
738,UA005786,4354,II
739,UA008524,4017,III
740,UA006098,3052,II
741,UA000709,4736,I
742,UA000265,4081,II
743,UA004627,437,III
744,UA002020,3138,II
745,UA000185,1454,I
746,UA006008,5747,II
747,UA007355,2563,III
748,UA004643,3575,II
749,UA002865,4405,I
750,UA008064,5550,II
751,UA007037,2724,III
752,UA008787,281,II
753,UA007629,3155,I
754,UA006650,2483,II
755,UA002372,942,III
756,UA006536,3691,II
757,UA004489,3370,I
758,UA007308,2139,II
759,UA010104,3580,III
760,UA008548,1594,II
761,UA005650,5630,I
762,UA002829,5376,II
763,UA008555,4703,III
764,UA006821,4131,II
765,UA003550,2995,I
766,UA010070,4737,II
767,UA006068,1752,III
768,UA000085,1962,II
769,UA001890,4824,I
770,UA000387,5611,II
771,UA001900,2312,III
772,UA006275,1356,II
773,UA005399,4020,I
774,UA009903,3428,II
775,UA002977,4131,III
776,UA006094,3067,II
777,UA006462,1163,I
778,UA002330,97,II
779,UA007294,1333,III
780,UA008730,613,II
781,UA008189,2186,I
782,UA009339,5618,II
783,UA001272,1683,III
784,UA002079,3002,II
785,UA006961,1430,I
786,UA001212,1032,II
787,UA009281,381,III
788,UA003753,1559,II
789,UA002197,2868,I
790,UA007546,1723,II
791,UA004775,4799,III
792,UA005053,5047,II
793,UA003924,5695,I
794,UA005648,1877,II
795,UA002481,868,III
796,UA007021,2756,II
797,UA000154,1615,I
798,UA004052,5139,II
799,UA006343,5781,III
800,UA000738,2168,II
801,UA006590,1836,I
802,UA006663,1554,II
803,UA001295,4712,III
804,UA003672,2910,II
805,UA000798,5501,I
806,UA002031,4956,II
807,UA007095,2422,III
808,UA000351,3840,II
809,UA008129,679,I
810,UA007135,773,II
811,UA006480,5323,III
812,UA002068,4531,II
813,UA002118,122,I
814,UA007191,3754,II
815,UA001193,3809,III
816,UA004303,356,II
817,UA005875,4918,I
818,UA004920,1624,II
819,UA002617,2995,III
820,UA003804,3307,II
821,UA001624,3681,I
822,UA004143,667,II
823,UA007089,3479,III
824,UA009924,1467,II
825,UA010008,5356,I
826,UA003793,815,II
827,UA005659,3194,III
828,UA001545,2023,II
829,UA000951,1108,I
830,UA009508,332,II
831,UA009197,5435,III
832,UA007517,5944,II
833,UA004017,5041,I
834,UA005954,2943,II
835,UA001512,4292,III
836,UA009709,360,II
837,UA002989,2223,I
838,UA006345,3119,II
839,UA004453,3085,III
840,UA001301,4264,II
841,UA002339,5848,I
842,UA009660,4852,II
843,UA009822,4032,III
844,UA003559,437,II
845,UA002559,1017,I
846,UA005604,969,II
847,UA005799,22,III
848,UA006927,1796,II
849,UA000579,4315,I
850,UA006573,1529,II
851,UA006909,3245,III
852,UA009431,4667,II
853,UA009237,2292,I
854,UA002544,5179,II
855,UA008241,5730,III
856,UA001636,1106,II
857,UA002605,2576,I
858,UA009490,4608,II
859,UA009601,4610,III
860,UA006696,3494,II
861,UA009224,4924,I
862,UA002754,5561,II
863,UA006508,5899,III
864,UA008316,4186,II
865,UA001520,2465,I
866,UA005758,1105,II
867,UA006106,3112,III
868,UA000419,65,II
869,UA009636,5138,I
870,UA006084,3733,II
871,UA003529,3888,III
872,UA009598,3701,II
873,UA002251,3704,I
874,UA007105,1663,II
875,UA005579,4861,III
876,UA005377,1224,II
877,UA008124,5657,I
878,UA000878,5070,II
879,UA007433,4181,III
880,UA001797,4878,II
881,UA002124,5680,I
882,UA007331,5949,II
883,UA005612,18,III
884,UA009837,1219,II
885,UA009095,2736,I
886,UA001491,2219,II
887,UA007081,867,III
888,UA008022,3112,II
889,UA008656,1885,I
890,UA000653,3402,II
891,UA004975,3288,III
892,UA005724,3289,II
893,UA009769,4529,I
894,UA001217,543,II
895,UA009082,4685,III
896,UA005186,4811,II
897,UA001530,3703,I
898,UA007267,3633,II
899,UA004959,999,III
900,UA008846,2658,II
901,UA006676,1899,I
902,UA002991,4674,II
903,UA004055,4489,III
904,UA007625,2767,II
905,UA005302,5625,I
906,UA004195,986,II
907,UA007931,3765,III
908,UA004172,1891,II
909,UA008986,4331,I
910,UA002901,345,II
911,UA001216,2604,III
912,UA005335,986,II
913,UA005975,3767,I
914,UA008277,3122,II
915,UA005445,3646,III
916,UA002321,4421,II
917,UA006448,1800,I
918,UA006706,1876,II
919,UA004238,1947,III
920,UA004953,511,II
921,UA007097,5166,I
922,UA007715,2493,II
923,UA008978,2895,III
924,UA000570,5925,II
925,UA009276,5868,I
926,UA003424,2872,II
927,UA007008,1293,III
928,UA003207,5579,II
929,UA001485,4402,I
930,UA003304,4581,II
931,UA002920,3479,III
932,UA009927,4692,II
933,UA007952,1136,I
934,UA002544,5376,II
935,UA002732,4422,III
936,UA008767,16,II
937,UA005624,5607,I
938,UA005589,5510,II
939,UA003366,73,III
940,UA009442,1972,II
941,UA002360,4206,I
942,UA000453,4143,II
943,UA005394,2717,III
944,UA002385,4163,II
945,UA004544,2416,I
946,UA003453,1586,II
947,UA002585,5212,III
948,UA010069,1214,II
949,UA003459,4901,I
950,UA003033,3952,II
951,UA002872,495,III
952,UA002690,340,II
953,UA009523,600,I
954,UA005439,3497,II
955,UA006281,5223,III
956,UA004898,5356,II
957,UA000454,1125,I
958,UA005355,2276,II
959,UA000902,4362,III
960,UA004727,4227,II
961,UA003573,5373,I
962,UA005404,2099,II
963,UA004150,2184,III
964,UA007152,1665,II
965,UA000544,931,I
966,UA002938,1117,II
967,UA001864,733,III
968,UA004742,5434,II
969,UA002505,3817,I
970,UA005114,3405,II
971,UA006445,2961,III
972,UA007701,2787,II
973,UA004142,3724,I
974,UA009809,4850,II
975,UA009287,2621,III
976,UA005704,309,II
977,UA004350,5909,I
978,UA001903,5368,II
979,UA006921,3165,III
980,UA000644,354,II
981,UA006115,4644,I
982,UA002745,5805,II
983,UA005386,2583,III
984,UA004537,4835,II
985,UA006298,419,I
986,UA009126,5939,II
987,UA008852,1346,III
988,UA008261,4504,II
989,UA007925,801,I
990,UA001652,4510,II
991,UA003745,973,III
992,UA008406,2872,II
993,UA003289,375,I
994,UA005990,437,II
995,UA005362,5512,III
996,UA004430,533,II
997,UA006017,295,I
998,UA005459,4849,II
999,UA009664,3900,III
1000,UA002237,4888,II
1001,UA009696,68,I
1002,UA009328,4714,II
1003,UA001832,4113,III
1004,UA006458,323,II
1005,UA004915,1002,I
1006,UA000312,1218,II
1007,UA004208,1933,III
1008,UA000529,4711,II
1009,UA001020,3747,I
1010,UA005806,11,II
1011,UA000313,1477,III
1012,UA004658,1533,II
1013,UA004869,2545,I
1014,UA003301,5070,II
1015,UA003301,2246,III
1016,UA007418,2057,II
1017,UA007018,4805,I
1018,UA002347,5850,II
1019,UA010087,5912,III
1020,UA006395,1720,II
1021,UA001889,1823,I
1022,UA003259,5492,II
1023,UA001437,3815,III
1024,UA006926,3768,II
1025,UA001944,4719,I
1026,UA006349,510,II
1027,UA009080,5512,III
1028,UA005036,2829,II
1029,UA001899,397,I
1030,UA007114,5884,II
1031,UA004065,4644,III
1032,UA006220,993,II
1033,UA009516,1531,I
1034,UA002548,754,II
1035,UA007419,2709,III
1036,UA005063,1947,II
1037,UA007991,901,I
1038,UA001528,2044,II
1039,UA006537,2631,III
1040,UA006833,3834,II
1041,UA005093,1056,I
1042,UA009217,3530,II
1043,UA007115,4160,III
1044,UA002750,1914,II
1045,UA009896,2257,I
1046,UA007088,2015,II
1047,UA009060,695,III
1048,UA006401,3334,II
1049,UA003719,5467,I
1050,UA010099,4388,II
1051,UA000533,5966,III
1052,UA000957,4569,II
1053,UA008778,2946,I
1054,UA004743,306,II
1055,UA002439,1322,III
1056,UA004864,414,II
1057,UA008322,2492,I
1058,UA005523,2095,II
1059,UA009871,365,III
1060,UA007697,1470,II
1061,UA003415,1734,I
1062,UA006172,3677,II
1063,UA004356,2473,III
1064,UA003552,4959,II
1065,UA009057,2143,I
1066,UA006412,1300,II
1067,UA004563,4166,III
1068,UA004779,826,II
1069,UA008099,936,I
1070,UA005198,1492,II
1071,UA003403,716,III
1072,UA007010,15,II
1073,UA008206,2919,I
1074,UA002010,2987,II
1075,UA005066,2270,III
1076,UA009309,2151,II
1077,UA007064,3955,I
1078,UA002347,4203,II
1079,UA000026,5756,III
1080,UA002314,4348,II
1081,UA003504,3892,I
1082,UA006450,5960,II
1083,UA001312,3425,III
1084,UA002303,5010,II
1085,UA000860,27,I
1086,UA004463,1915,II
1087,UA006934,5050,III
1088,UA000535,1932,II
1089,UA002945,1849,I
1090,UA002002,1704,II
1091,UA008370,2848,III
1092,UA001129,2019,II
1093,UA009690,5156,I
1094,UA004980,2823,II
1095,UA009872,3389,III
1096,UA002746,3408,II
1097,UA002362,1949,I
1098,UA001370,4913,II
1099,UA008544,5790,III
1100,UA010008,5481,II
1101,UA007505,5118,I
1102,UA009013,4645,II
1103,UA006764,3451,III
1104,UA000721,5997,II
1105,UA005421,2549,I
1106,UA001069,5668,II
1107,UA004150,5261,III
1108,UA006277,3575,II
1109,UA004862,2314,I
1110,UA002067,3227,II
1111,UA008274,5136,III
1112,UA009654,3478,II
1113,UA006166,4638,I
1114,UA005008,4719,II
1115,UA001190,204,III
1116,UA007910,2628,II
1117,UA003678,1370,I
1118,UA008178,5071,II
1119,UA007113,4413,III
1120,UA006142,3930,II
1121,UA000363,3946,I
1122,UA009804,580,II
1123,UA000369,5004,III
1124,UA005771,5461,II
1125,UA004773,56,I
1126,UA008208,1967,II
1127,UA008316,29,III
1128,UA000523,4294,II
1129,UA007835,5245,I
1130,UA004403,4517,II
1131,UA005429,813,III
1132,UA003612,5604,II
1133,UA006118,2612,I
1134,UA001108,1349,II
1135,UA006968,4707,III
1136,UA004681,3403,II
1137,UA003331,3314,I
1138,UA008603,3187,II
1139,UA005423,548,III
1140,UA003937,5348,II
1141,UA000937,1064,I
1142,UA005546,2669,II
1143,UA007372,5176,III
1144,UA001899,2518,II
1145,UA003733,2035,I
1146,UA008349,3330,II
1147,UA000079,609,III
1148,UA005361,254,II
1149,UA005915,4881,I
1150,UA007506,3187,II
1151,UA005254,1933,III
1152,UA009549,2188,II
1153,UA008743,4800,I
1154,UA003261,2748,II
1155,UA007322,3918,III
1156,UA008981,312,II
1157,UA007125,3898,I
1158,UA003316,1691,II
1159,UA005761,2673,III
1160,UA004972,1844,II
1161,UA001715,5335,I
1162,UA007260,4289,II
1163,UA006229,4302,III
