UserAccountId,LastLoginDate,LastJobApplyDate,LastJobPostDate
UA000145,2018-07-19,2018-07-19,NULL
UA000146,2018-08-23,2018-08-23,NULL
UA000147,2018-09-13,2018-09-13,NULL
UA000148,2018-05-18,2018-05-18,NULL
UA000149,2018-09-28,2018-09-28,NULL
UA000150,2018-06-10,2018-06-10,NULL
UA000151,2018-07-02,2018-07-02,NULL
UA000152,2018-07-30,2018-07-30,NULL
UA000153,2017-04-22,NULL,NULL
UA000154,2017-02-15,NULL,NULL
UA000155,2018-09-05,2018-09-05,NULL
UA000156,2018-09-10,2018-09-10,NULL
UA000157,2018-09-20,2018-09-20,NULL
UA000158,2017-03-06,NULL,NULL
UA000159,2018-08-21,2018-08-21,NULL
UA000160,2017-07-26,NULL,NULL
UA000161,2017-08-05,NULL,NULL
UA000162,2018-07-12,2018-07-12,NULL
UA000163,2018-09-13,2018-09-13,NULL
UA000164,2017-07-12,NULL,NULL
UA000165,2018-05-20,2018-05-20,NULL
UA000166,2018-06-30,2018-06-30,NULL
UA000167,2018-09-27,2018-09-27,NULL
UA000168,2018-09-25,2018-09-25,NULL
UA000169,2018-07-31,2018-07-31,NULL
UA000170,2018-08-08,2018-08-08,NULL
UA000171,2018-08-16,2018-08-16,NULL
UA000172,2018-10-01,2018-10-01,NULL
UA000173,2018-05-16,2018-05-16,NULL
UA000174,2017-08-28,NULL,NULL
UA000175,2017-04-11,NULL,NULL
UA000176,2018-08-17,2018-08-17,NULL
UA000177,2018-07-23,2018-07-23,NULL
UA000178,2018-09-26,2018-09-26,NULL
UA000179,2018-08-07,2018-08-07,NULL
UA000180,2018-06-29,2018-06-29,NULL
UA000181,2018-09-18,2018-09-18,NULL
UA000182,2018-08-17,2018-08-17,NULL
UA000183,2017-01-31,NULL,NULL
UA000184,2017-10-17,NULL,NULL
UA000185,2018-08-26,2018-08-26,NULL
UA000186,2017-07-07,NULL,NULL
UA000187,2018-08-30,2018-08-30,NULL
UA000188,2018-08-07,2018-08-07,NULL
UA000189,2017-09-08,NULL,NULL
UA000190,2018-09-25,2018-09-25,NULL
UA000191,2018-05-19,2018-05-19,NULL
UA000192,2018-07-04,2018-07-04,NULL
UA000193,2018-09-16,2018-09-16,NULL
UA000194,2018-08-01,2018-08-01,NULL
UA000195,2018-06-15,2018-06-15,NULL
UA000196,2018-06-03,2018-06-03,NULL
UA000197,2018-06-19,2018-06-19,NULL
UA000198,2018-08-12,2018-08-12,NULL
UA000199,2018-09-14,2018-09-14,NULL
UA000200,2018-09-13,2018-09-13,NULL
UA000201,2018-09-17,2018-09-17,NULL
UA000202,2018-07-20,2018-07-20,NULL
UA000203,2018-05-12,2018-05-12,NULL
UA000204,2017-08-02,NULL,NULL
UA000205,2018-08-27,2018-08-27,NULL
UA000206,2018-05-15,2018-05-15,NULL
UA000207,2018-09-12,2018-09-12,NULL
UA000208,2017-10-28,NULL,NULL
UA000209,2018-09-18,2018-09-18,NULL
UA000210,2018-09-30,2018-09-30,NULL
UA000211,2018-08-02,2018-08-02,NULL
UA000212,2017-03-08,NULL,NULL
UA000213,2018-09-15,2018-09-15,NULL
UA000214,2018-09-29,2018-09-29,NULL
UA000215,2017-03-24,NULL,NULL
UA000216,2017-01-01,NULL,NULL
UA000217,2018-07-13,2018-07-13,NULL
UA000218,2018-08-22,2018-08-22,NULL
UA000219,2018-05-03,2018-05-03,NULL
UA000220,2018-05-10,2018-05-10,NULL
UA000221,2018-09-26,2018-09-26,NULL
UA000222,2018-08-15,2018-08-15,NULL
UA000223,2018-07-14,2018-07-14,NULL
UA000224,2018-07-14,2018-07-14,NULL
UA000225,2018-06-26,2018-06-26,NULL
UA000226,2018-09-15,2018-09-15,NULL
UA000227,2018-09-15,2018-09-15,NULL
UA000228,2017-01-11,NULL,NULL
UA000229,2018-06-19,2018-06-19,NULL
UA000230,2018-06-07,2018-06-07,NULL
UA000231,2017-03-12,NULL,NULL
UA000232,2018-07-16,2018-07-16,NULL
UA000233,2017-07-17,NULL,NULL
UA000234,2017-06-22,NULL,NULL
UA000235,2018-08-21,2018-08-21,NULL
UA000236,2018-09-14,2018-09-14,NULL
UA000237,2018-09-14,2018-09-14,NULL
UA000238,2018-06-07,2018-06-07,NULL
UA000239,2018-06-09,2018-06-09,NULL
UA000240,2018-09-04,2018-09-04,NULL
UA000241,2017-10-09,NULL,NULL
UA000242,2017-10-28,NULL,NULL
UA000243,2018-09-11,2018-09-11,NULL
UA000244,2018-09-01,2018-09-01,NULL
UA000245,2018-08-28,2018-08-28,NULL
UA000246,2017-02-22,NULL,NULL
UA000247,2018-07-19,2018-07-19,NULL
UA000248,2017-12-28,NULL,NULL
UA000249,2018-07-26,2018-07-26,NULL
UA000250,2018-09-12,2018-09-12,NULL
UA000251,2018-08-10,2018-08-10,NULL
UA000252,2018-05-30,2018-05-30,NULL
UA000253,2018-07-08,2018-07-08,NULL
UA000254,2017-04-30,NULL,NULL
UA000255,2017-08-14,NULL,NULL
UA000256,2018-05-21,2018-05-21,NULL
UA000257,2018-05-17,2018-05-17,NULL
UA000258,2018-09-16,2018-09-16,NULL
UA000259,2018-07-20,2018-07-20,NULL
UA000260,2018-07-12,2018-07-12,NULL
UA000261,2018-09-26,2018-09-26,NULL
UA000262,2018-06-02,2018-06-02,NULL
UA000263,2017-05-08,NULL,NULL
UA000264,2018-05-28,2018-05-28,NULL
UA000265,2018-09-03,2018-09-03,NULL
UA000266,2017-12-25,NULL,NULL
UA000267,2018-05-05,2018-05-05,NULL
UA000268,2017-06-06,NULL,NULL
UA000269,2018-06-29,2018-06-29,NULL
UA000270,2018-07-24,2018-07-24,NULL
UA000271,2017-03-10,NULL,NULL
UA000272,2018-09-28,2018-09-28,NULL
UA000273,2018-09-11,2018-09-11,NULL
UA000274,2018-08-13,2018-08-13,NULL
UA000275,2018-09-26,2018-09-26,NULL
UA000276,2018-08-30,2018-08-30,NULL
UA000277,2017-08-21,NULL,NULL
UA000278,2018-07-18,2018-07-18,NULL
UA000279,2018-07-27,2018-07-27,NULL
UA000280,2018-07-19,2018-07-19,NULL
UA000281,2017-11-18,NULL,NULL
UA000282,2018-08-13,2018-08-13,NULL
UA000283,2018-06-29,2018-06-29,NULL
UA000284,2018-07-04,2018-07-04,NULL
UA000285,2018-06-24,2018-06-24,NULL
UA000286,2018-05-05,2018-05-05,NULL
UA000287,2018-08-27,2018-08-27,NULL
UA000288,2018-05-12,2018-05-12,NULL
UA000289,2018-09-27,2018-09-27,NULL
UA000290,2018-08-21,2018-08-21,NULL
UA000291,2018-09-04,2018-09-04,NULL
UA000292,2017-08-26,NULL,NULL
UA000293,2018-08-22,2018-08-22,NULL
UA000294,2018-05-13,2018-05-13,NULL
UA000295,2018-09-04,2018-09-04,NULL
UA000296,2018-06-14,2018-06-14,NULL
UA000297,2018-06-26,2018-06-26,NULL
UA000298,2018-05-18,2018-05-18,NULL
UA000299,2017-01-01,NULL,NULL
UA000300,2018-09-20,2018-09-20,NULL
UA000301,2018-09-14,2018-09-14,NULL
UA000302,2018-07-30,2018-07-30,NULL
UA000303,2018-07-27,2018-07-27,NULL
UA000304,2018-08-12,2018-08-12,NULL
UA000305,2018-08-20,2018-08-20,NULL
UA000306,2018-05-23,2018-05-23,NULL
UA000307,2018-09-03,2018-09-03,NULL
UA000308,2017-10-15,NULL,NULL
UA000309,2017-07-04,NULL,NULL
UA000310,2018-05-05,2018-05-05,NULL
UA000311,2017-10-24,NULL,NULL
UA000312,2017-02-16,NULL,NULL
UA000313,2018-07-18,2018-07-18,NULL
UA000314,2017-10-26,NULL,NULL
UA000315,2017-02-21,NULL,NULL
UA000316,2017-01-29,NULL,NULL
UA000317,2017-11-01,NULL,NULL
UA000318,2017-11-10,NULL,NULL
UA000319,2018-06-26,2018-06-26,NULL
UA000320,2018-08-31,2018-08-31,NULL
UA000321,2017-05-06,NULL,NULL
UA000322,2018-08-31,2018-08-31,NULL
UA000323,2018-09-04,2018-09-04,NULL
UA000324,2018-08-21,2018-08-21,NULL
UA000325,2018-08-02,2018-08-02,NULL
UA000326,2018-08-16,2018-08-16,NULL
UA000327,2018-09-23,2018-09-23,NULL
UA000328,2018-07-18,2018-07-18,NULL
UA000329,2018-06-08,2018-06-08,NULL
UA000330,2018-07-20,2018-07-20,NULL
UA000331,2017-03-18,NULL,NULL
UA000332,2018-08-02,2018-08-02,NULL
UA000333,2018-08-18,2018-08-18,NULL
UA000334,2018-07-07,2018-07-07,NULL
UA000335,2018-06-05,2018-06-05,NULL
UA000336,2018-10-01,2018-10-01,NULL
UA000337,2018-07-26,2018-07-26,NULL
UA000338,2018-09-28,2018-09-28,NULL
UA000339,2018-06-06,2018-06-06,NULL
UA000340,2018-09-05,2018-09-05,NULL
UA000341,2018-07-16,2018-07-16,NULL
UA000342,2018-06-09,2018-06-09,NULL
UA000343,2018-06-15,2018-06-15,NULL
UA000344,2018-06-27,2018-06-27,NULL
UA000345,2018-09-08,2018-09-08,NULL
UA000346,2017-09-01,NULL,NULL
UA000347,2017-07-27,NULL,NULL
UA000348,2018-08-10,2018-08-10,NULL
UA000349,2018-09-27,2018-09-27,NULL
UA000350,2018-08-11,2018-08-11,NULL
UA000351,2017-07-17,NULL,NULL
UA000352,2018-09-24,2018-09-24,NULL
UA000353,2018-09-09,2018-09-09,NULL
UA000354,2018-08-14,2018-08-14,NULL
UA000355,2017-03-02,NULL,NULL
UA000356,2018-07-10,2018-07-10,NULL
UA000357,2018-07-25,2018-07-25,NULL
UA000358,2018-09-27,2018-09-27,NULL
UA000359,2018-09-09,2018-09-09,NULL
UA000360,2018-06-19,2018-06-19,NULL
UA000361,2017-11-11,NULL,NULL
UA000362,2017-02-02,NULL,NULL
UA000363,2018-06-02,2018-06-02,NULL
UA000364,2017-02-21,NULL,NULL
UA000365,2018-09-07,2018-09-07,NULL
UA000366,2018-09-27,2018-09-27,NULL
UA000367,2018-07-08,2018-07-08,NULL
UA000368,2018-08-19,2018-08-19,NULL
UA000369,2018-05-18,2018-05-18,NULL
UA000370,2018-09-24,2018-09-24,NULL
UA000371,2018-05-21,2018-05-21,NULL
UA000372,2018-06-28,2018-06-28,NULL
UA000373,2017-02-20,NULL,NULL
UA000374,2018-09-18,2018-09-18,NULL
UA000375,2018-07-18,2018-07-18,NULL
UA000376,2018-10-01,2018-10-01,NULL
UA000377,2018-07-04,2018-07-04,NULL
UA000378,2018-06-14,2018-06-14,NULL
UA000379,2018-06-24,2018-06-24,NULL
UA000380,2018-08-07,2018-08-07,NULL
UA000381,2018-09-16,2018-09-16,NULL
UA000382,2018-09-08,2018-09-08,NULL
UA000383,2017-09-19,NULL,NULL
UA000384,2017-12-07,NULL,NULL
UA000385,2018-07-02,2018-07-02,NULL
UA000386,2018-08-26,2018-08-26,NULL
UA000387,2018-07-09,2018-07-09,NULL
UA000388,2018-07-15,2018-07-15,NULL
UA000389,2018-08-26,2018-08-26,NULL
UA000390,2017-08-04,NULL,NULL
UA000391,2018-09-16,2018-09-16,NULL
UA000392,2018-09-04,2018-09-04,NULL
UA000393,2018-05-17,2018-05-17,NULL
UA000394,2018-09-02,2018-09-02,NULL
UA000395,2018-09-08,2018-09-08,NULL
UA000396,2018-09-23,2018-09-23,NULL
UA000397,2018-09-13,2018-09-13,NULL
UA000398,2018-07-10,2018-07-10,NULL
UA000399,2018-06-21,2018-06-21,NULL
UA000400,2018-06-17,2018-06-17,NULL
UA000401,2018-09-08,2018-09-08,NULL
UA000402,2018-09-18,2018-09-18,NULL
UA000403,2018-08-18,2018-08-18,NULL
UA000404,2018-08-05,2018-08-05,NULL
UA000405,2018-06-26,2018-06-26,NULL
UA000406,2018-06-28,2018-06-28,NULL
UA000407,2018-05-12,2018-05-12,NULL
UA000408,2018-09-14,2018-09-14,NULL
UA000409,2017-01-31,NULL,NULL
UA000410,2018-07-09,2018-07-09,NULL
UA000411,2017-11-24,NULL,NULL
UA000412,2018-09-17,2018-09-17,NULL
UA000413,2018-06-05,2018-06-05,NULL
UA000414,2017-10-10,NULL,NULL
UA000415,2018-07-28,2018-07-28,NULL
UA000416,2018-08-16,2018-08-16,NULL
UA000417,2018-08-27,2018-08-27,NULL
UA000418,2017-07-04,NULL,NULL
UA000419,2017-04-12,NULL,NULL
UA000420,2018-09-25,2018-09-25,NULL
UA000421,2018-08-03,2018-08-03,NULL
UA000422,2017-02-15,NULL,NULL
UA000423,2018-09-21,2018-09-21,NULL
UA000424,2018-09-08,2018-09-08,NULL
UA000425,2018-08-20,2018-08-20,NULL
UA000426,2018-08-11,2018-08-11,NULL
UA000427,2018-08-14,2018-08-14,NULL
UA000428,2018-07-22,2018-07-22,NULL
UA000429,2018-09-26,2018-09-26,NULL
UA000430,2018-08-30,2018-08-30,NULL
UA000431,2018-08-01,2018-08-01,NULL
UA000432,2018-09-22,2018-09-22,NULL
UA000433,2017-09-03,NULL,NULL
UA000434,2018-09-14,2018-09-14,NULL
UA000435,2018-08-22,2018-08-22,NULL
UA000436,2017-05-08,NULL,NULL
UA000437,2017-06-19,NULL,NULL
UA000438,2018-07-30,2018-07-30,NULL
UA000439,2018-06-07,2018-06-07,NULL
UA000440,2017-04-20,NULL,NULL
UA000441,2018-07-18,2018-07-18,NULL
UA000442,2018-08-13,2018-08-13,NULL
UA000443,2017-03-18,NULL,NULL
UA000444,2018-07-25,2018-07-25,NULL
UA000445,2018-09-07,2018-09-07,NULL
UA000446,2018-08-14,2018-08-14,NULL
UA000447,2018-06-14,2018-06-14,NULL
UA000448,2018-07-18,2018-07-18,NULL
UA000449,2018-07-31,2018-07-31,NULL
UA000450,2018-07-20,2018-07-20,NULL
UA000451,2018-05-07,2018-05-07,NULL
UA000452,2017-03-28,NULL,NULL
UA000453,2018-06-10,2018-06-10,NULL
UA000454,2018-07-18,2018-07-18,NULL
UA000455,2018-06-29,2018-06-29,NULL
UA000456,2018-08-21,2018-08-21,NULL
UA000457,2018-06-30,2018-06-30,NULL
UA000458,2018-09-26,2018-09-26,NULL
UA000459,2018-07-02,2018-07-02,NULL
UA000460,2018-06-15,2018-06-15,NULL
UA000461,2018-08-18,2018-08-18,NULL
UA000462,2018-09-23,2018-09-23,NULL
UA000463,2018-07-25,2018-07-25,NULL
UA000464,2018-07-16,2018-07-16,NULL
UA000465,2018-09-20,2018-09-20,NULL
UA000466,2017-11-26,NULL,NULL
UA000467,2018-09-25,2018-09-25,NULL
UA000468,2018-07-11,2018-07-11,NULL
UA000469,2018-05-04,2018-05-04,NULL
UA000470,2018-07-11,2018-07-11,NULL
UA000471,2018-08-07,2018-08-07,NULL
UA000472,2018-05-26,2018-05-26,NULL
UA000473,2017-08-15,NULL,NULL
UA000474,2018-07-10,2018-07-10,NULL
UA000475,2018-09-04,2018-09-04,NULL
UA000476,2018-09-17,2018-09-17,NULL
UA000477,2018-08-17,2018-08-17,NULL
UA000478,2017-03-06,NULL,NULL
UA000479,2018-09-17,2018-09-17,NULL
UA000480,2018-06-16,2018-06-16,NULL
UA000481,2017-03-16,NULL,NULL
UA000482,2018-08-17,2018-08-17,NULL
UA000483,2018-06-12,2018-06-12,NULL
UA000484,2017-04-10,NULL,NULL
UA000485,2018-09-06,2018-09-06,NULL
UA000486,2018-05-15,2018-05-15,NULL
UA000487,2018-07-22,2018-07-22,NULL
UA000488,2018-10-01,2018-10-01,NULL
UA000489,2018-08-02,2018-08-02,NULL
UA000490,2018-09-09,2018-09-09,NULL
UA000491,2017-10-25,NULL,NULL
UA000492,2018-09-11,2018-09-11,NULL
UA000493,2018-06-29,2018-06-29,NULL
UA000494,2017-04-22,NULL,NULL
UA000495,2018-07-03,2018-07-03,NULL
UA000496,2018-10-01,2018-10-01,NULL
UA000497,2018-08-16,2018-08-16,NULL
UA000498,2018-08-14,2018-08-14,NULL
UA000499,2018-09-10,2018-09-10,NULL
UA000500,2017-08-03,NULL,NULL
UA000501,2018-09-30,2018-09-30,NULL
UA000502,2018-08-17,2018-08-17,NULL
UA000503,2018-09-09,2018-09-09,NULL
UA000504,2017-01-24,NULL,NULL
UA000505,2017-04-15,NULL,NULL
UA000506,2017-06-11,NULL,NULL
UA000507,2017-12-11,NULL,NULL
UA000508,2018-08-03,2018-08-03,NULL
UA000509,2018-07-23,2018-07-23,NULL
UA000510,2018-08-27,2018-08-27,NULL
UA000511,2018-08-24,2018-08-24,NULL
UA000512,2018-06-03,2018-06-03,NULL
UA000513,2018-08-05,2018-08-05,NULL
UA000514,2018-07-07,2018-07-07,NULL
UA000515,2018-08-04,2018-08-04,NULL
UA000516,2018-09-10,2018-09-10,NULL
UA000517,2018-08-13,2018-08-13,NULL
UA000518,2018-09-25,2018-09-25,NULL
UA000519,2018-05-05,2018-05-05,NULL
UA000520,2018-08-27,2018-08-27,NULL
UA000521,2017-08-09,NULL,NULL
UA000522,2018-07-21,2018-07-21,NULL
UA000523,2017-06-27,NULL,NULL
UA000524,2018-09-19,2018-09-19,NULL
UA000525,2018-06-26,2018-06-26,NULL
UA000526,2018-09-19,2018-09-19,NULL
UA000527,2017-11-06,NULL,NULL
UA000528,2018-08-02,2018-08-02,NULL
UA000529,2017-08-25,NULL,NULL
UA000530,2018-07-07,2018-07-07,NULL
UA000531,2018-09-17,2018-09-17,NULL
UA000532,2018-06-29,2018-06-29,NULL
UA000533,2018-08-16,2018-08-16,NULL
UA000534,2017-09-07,NULL,NULL
UA000535,2018-09-11,2018-09-11,NULL
UA000536,2018-07-27,2018-07-27,NULL
UA000537,2018-06-22,2018-06-22,NULL
UA000538,2018-09-30,2018-09-30,NULL
UA000539,2018-09-30,2018-09-30,NULL
UA000540,2018-10-01,2018-10-01,NULL
UA000541,2017-03-08,NULL,NULL
UA000542,2018-08-30,2018-08-30,NULL
UA000543,2017-02-08,NULL,NULL
UA000544,2018-06-05,2018-06-05,NULL
UA000545,2018-05-26,2018-05-26,NULL
UA000546,2018-09-12,2018-09-12,NULL
UA000547,2018-05-14,2018-05-14,NULL
UA000548,2018-08-25,2018-08-25,NULL
UA000549,2017-07-06,NULL,NULL
UA000550,2018-09-25,2018-09-25,NULL
UA000551,2018-06-16,2018-06-16,NULL
UA000552,2018-08-30,2018-08-30,NULL
UA000553,2018-06-28,2018-06-28,NULL
UA000554,2017-10-11,NULL,NULL
UA000555,2018-06-09,2018-06-09,NULL
UA000556,2017-05-07,NULL,NULL
UA000557,2018-07-30,2018-07-30,NULL
UA000558,2018-09-27,2018-09-27,NULL
UA000559,2018-07-09,2018-07-09,NULL
UA000560,2017-03-15,NULL,NULL
UA000561,2018-06-09,2018-06-09,NULL
UA000562,2018-05-15,2018-05-15,NULL
UA000563,2018-08-27,2018-08-27,NULL
UA000564,2018-09-08,2018-09-08,NULL
UA000565,2018-08-12,2018-08-12,NULL
UA000566,2018-05-01,2018-05-01,NULL
UA000567,2018-09-19,2018-09-19,NULL
UA000568,2018-09-14,2018-09-14,NULL
UA000569,2018-08-17,2018-08-17,NULL
UA000570,2017-05-25,NULL,NULL
UA000571,2018-05-18,2018-05-18,NULL
UA000572,2018-09-09,2018-09-09,NULL
UA000573,2018-05-31,2018-05-31,NULL
UA000574,2018-09-07,2018-09-07,NULL
UA000575,2017-01-27,NULL,NULL
UA000576,2017-07-22,NULL,NULL
UA000577,2018-07-02,2018-07-02,NULL
UA000578,2018-07-28,2018-07-28,NULL
UA000579,2018-09-12,2018-09-12,NULL
UA000580,2017-10-24,NULL,NULL
UA000581,2018-06-09,2018-06-09,NULL
UA000582,2018-09-24,2018-09-24,NULL
UA000583,2017-03-31,NULL,NULL
UA000584,2018-09-16,2018-09-16,NULL
UA000585,2018-06-24,2018-06-24,NULL
UA000586,2018-07-11,2018-07-11,NULL
UA000587,2017-07-10,NULL,NULL
UA000588,2017-10-25,NULL,NULL
UA000589,2018-10-01,2018-10-01,NULL
UA000590,2017-03-01,NULL,NULL
UA000591,2018-09-27,2018-09-27,NULL
UA000592,2018-05-23,2018-05-23,NULL
UA000593,2018-09-20,2018-09-20,NULL
UA000594,2018-07-30,2018-07-30,NULL
UA000595,2017-06-04,NULL,NULL
UA000596,2018-05-25,2018-05-25,NULL
UA000597,2018-05-15,2018-05-15,NULL
UA000598,2018-05-24,2018-05-24,NULL
UA000599,2018-09-29,2018-09-29,NULL
UA000600,2018-08-04,2018-08-04,NULL
UA000601,2018-08-26,2018-08-26,NULL
UA000602,2018-08-08,2018-08-08,NULL
UA000603,2018-08-28,2018-08-28,NULL
UA000604,2018-06-02,2018-06-02,NULL
UA000605,2018-09-23,2018-09-23,NULL
UA000606,2018-09-27,2018-09-27,NULL
UA000607,2018-08-18,2018-08-18,NULL
UA000608,2018-09-28,2018-09-28,NULL
UA000609,2017-03-17,NULL,NULL
UA000610,2017-02-19,NULL,NULL
UA000611,2018-06-23,2018-06-23,NULL
UA000612,2017-05-26,NULL,NULL
UA000613,2018-07-05,2018-07-05,NULL
UA000614,2017-02-05,NULL,NULL
UA000615,2018-06-23,2018-06-23,NULL
UA000616,2018-06-14,2018-06-14,NULL
UA000617,2018-07-17,2018-07-17,NULL
UA000618,2018-08-25,2018-08-25,NULL
UA000619,2017-01-07,NULL,NULL
UA000620,2018-06-21,2018-06-21,NULL
UA000621,2017-01-01,NULL,NULL
UA000622,2018-06-10,2018-06-10,NULL
UA000623,2018-09-05,2018-09-05,NULL
