UserAccountId,Industry,CurrentSalary,SalaryUnit,Resume
UA000064,"COMPUTER OCCUPATIONS, ALL OTHER","60,000.00",Year,NULL
UA000065,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS","50,000.00",Year,NULL
UA000066,LAWYERS,"90,000.00",Year,NULL
UA000067,"COMPUTER SYSTEMS ANALYSTS","75,000.00",Year,NULL
UA000068,"COMPUTER OCCUPATIONS, ALL OTHER","60,000.00",Year,NULL
UA000069,"COMPUTER OCCUPATIONS, ALL OTHER","60,000.00",Year,NULL
UA000070,"COMPUTER OCCUPATIONS, ALL OTHER","65,682.00",Year,NULL
UA000071,"FINANCIAL SPECIALISTS, ALL OTHER","65,000.00",Year,NULL
UA000072,"COMPUTER OCCUPATIONS, ALL OTHER","60,000.00",Year,NULL
UA000073,"MATERIALS SCIENTISTS","78,000.00",Year,NULL
UA000074,"COMPUTER OCCUPATIONS, ALL OTHER","65,682.00",Year,NULL
UA000075,"REPORTERS AND CORRESPONDENTS","50,918.00",Year,NULL
UA000076,"MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","80,000.00",Year,NULL
UA000077,"SOFTWARE DEVELOPERS, APPLICATIONS","150,000.00",Year,NULL
UA000078,"BIOLOGICAL TECHNICIANS","45,154.20",Year,NULL
UA000079,STATISTICIANS,"75,000.00",Year,NULL
UA000080,"MATERIALS ENGINEERS","105,000.00",Year,NULL
UA000081,"BUSINESS TEACHERS, POSTSECONDARY","360,000.00",Year,NULL
UA000082,"INTERNISTS, GENERAL","190,000.00",Year,NULL
UA000083,"SOFTWARE DEVELOPERS, APPLICATIONS","190,000.00",Year,NULL
UA000084,"COMPUTER PROGRAMMERS","66,079.00",Year,NULL
UA000085,"FINANCIAL ANALYSTS","140,000.00",Year,NULL
UA000086,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE","78,000.00",Year,NULL
UA000087,"ACCOUNTANTS AND AUDITORS","135,000.00",Year,NULL
UA000088,"BUDGET ANALYSTS","45,802.00",Year,NULL
UA000089,STATISTICIANS,"79,785.00",Year,NULL
UA000090,"MANAGEMENT ANALYSTS","185,000.00",Year,NULL
UA000091,"COMPUTER SCIENCE TEACHERS, POSTSECONDARY","78,690.00",Year,NULL
UA000092,"NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","85,000.00",Year,NULL
UA000093,"LIFE SCIENTISTS, ALL OTHER","40,972.15",Year,NULL
UA000094,"COMPUTER AND INFORMATION RESEARCH SCIENTISTS","125,000.00",Year,NULL
UA000095,"COMPUTER PROGRAMMERS","80,000.00",Year,NULL
UA000096,"ARCHITECTURAL AND ENGINEERING MANAGERS","234,600.00",Year,NULL
UA000097,"PUBLIC RELATIONS SPECIALISTS",17.50,Hour,NULL
UA000098,"COMPUTER SYSTEMS ANALYSTS","100,000.00",Year,NULL
UA000099,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",50.00,Hour,NULL
UA000100,"SOFTWARE DEVELOPERS, APPLICATIONS","135,000.00",Year,NULL
UA000101,"DATABASE ADMINISTRATORS","106,000.00",Year,NULL
UA000102,"PUBLIC RELATIONS SPECIALISTS","65,000.00",Year,NULL
UA000103,"SOFTWARE DEVELOPERS, APPLICATIONS","108,305.00",Year,NULL
UA000104,"SOFTWARE DEVELOPERS, APPLICATIONS","80,000.00",Year,NULL
UA000105,"PUBLIC RELATIONS SPECIALISTS","50,000.00",Year,NULL
UA000106,"MANAGEMENT ANALYSTS","70,000.00",Year,NULL
UA000107,"SOFTWARE DEVELOPERS, APPLICATIONS","150,000.00",Year,NULL
UA000108,"SOFTWARE DEVELOPERS, APPLICATIONS","195,000.00",Year,NULL
UA000109,"MATERIALS SCIENTISTS",25.53,Hour,NULL
UA000110,"MARKETING MANAGERS","115,000.00",Year,NULL
UA000111,ECONOMISTS,"99,000.00",Year,NULL
UA000112,"COMPUTER OCCUPATIONS, ALL OTHER","65,000.00",Year,NULL
UA000113,LOGISTICIANS,"68,000.00",Year,NULL
UA000114,"COMPUTER OCCUPATIONS, ALL OTHER","67,500.00",Year,NULL
UA000115,"SOFTWARE DEVELOPERS, APPLICATIONS","145,000.00",Year,NULL
UA000116,"SOFTWARE DEVELOPERS, APPLICATIONS","135,000.00",Year,NULL
UA000117,"PHYSICAL SCIENTISTS, ALL OTHER","72,744.00",Year,NULL
UA000118,"ENGINEERING TEACHERS, POSTSECONDARY","74,312.07",Year,NULL
UA000119,"COMPUTER PROGRAMMERS","68,160.00",Year,NULL
UA000120,"COMPUTER OCCUPATIONS, ALL OTHER","65,000.00",Year,NULL
UA000121,"AGRICULTURAL ENGINEERS","51,408.00",Year,NULL
UA000122,"PUBLIC RELATIONS SPECIALISTS","45,000.00",Year,NULL
UA000123,"OPERATIONS RESEARCH ANALYSTS","90,000.00",Year,NULL
UA000124,"MANAGEMENT ANALYSTS","150,000.00",Year,NULL
UA000125,"MANAGEMENT ANALYSTS","105,000.00",Year,NULL
UA000126,"SOFTWARE DEVELOPERS, APPLICATIONS","99,300.00",Year,NULL
UA000127,"MANAGEMENT ANALYSTS","65,000.00",Year,NULL
UA000128,CURATORS,18.00,Hour,NULL
UA000129,"CHEMICAL ENGINEERS","97,864.00",Year,NULL
UA000130,"MECHANICAL ENGINEERS","75,775.00",Year,NULL
UA000131,"GRAPHIC DESIGNERS","52,000.00",Year,NULL
UA000132,"OPERATIONS RESEARCH ANALYSTS","60,000.00",Year,NULL
UA000133,"MECHANICAL ENGINEERS","75,775.00",Year,NULL
UA000134,"MECHANICAL ENGINEERS","75,775.00",Year,NULL
UA000135,"MECHANICAL ENGINEERS","75,775.00",Year,NULL
UA000136,"MECHANICAL ENGINEERS","75,775.00",Year,NULL
UA000137,"MECHANICAL ENGINEERS","75,775.00",Year,NULL
UA000138,"MECHANICAL ENGINEERS","75,775.00",Year,NULL
UA000139,"MECHANICAL ENGINEERS","75,775.00",Year,NULL
UA000140,"BIOLOGICAL SCIENTISTS, ALL OTHER","47,486.00",Year,NULL
UA000141,"MECHANICAL ENGINEERS","75,775.00",Year,NULL
UA000142,"MECHANICAL ENGINEERS","75,775.00",Year,NULL
UA000143,"MECHANICAL ENGINEERS","75,775.00",Year,NULL
UA000144,"MECHANICAL ENGINEERS","75,775.00",Year,NULL
UA000145,"SOFTWARE DEVELOPERS, APPLICATIONS","77,700.00",Year,NULL
UA000146,"MECHANICAL ENGINEERS","75,775.00",Year,NULL
UA000147,"BUDGET ANALYSTS","51,730.00",Year,NULL
UA000148,"MECHANICAL ENGINEERS","75,775.00",Year,NULL
UA000149,"ELECTRICAL ENGINEERS","82,500.00",Year,NULL
UA000150,"MECHANICAL ENGINEERS","75,775.00",Year,NULL
UA000151,"MECHANICAL ENGINEERS","75,775.00",Year,NULL
UA000152,"MECHANICAL ENGINEERS","75,775.00",Year,NULL
UA000153,"MATERIALS SCIENTISTS","61,416.00",Year,NULL
UA000154,"MECHANICAL ENGINEERS","75,775.00",Year,NULL
UA000155,"MECHANICAL ENGINEERS","75,775.00",Year,NULL
UA000156,"MECHANICAL ENGINEERS","75,775.00",Year,NULL
UA000157,"ELECTRICAL ENGINEERS","81,516.00",Year,NULL
UA000158,"COMPUTER OCCUPATIONS, ALL OTHER","117,333.00",Year,NULL
UA000159,"OPERATIONS RESEARCH ANALYSTS","150,000.00",Year,NULL
UA000160,"MECHANICAL ENGINEERS","75,775.00",Year,NULL
UA000161,"SOFTWARE DEVELOPERS, APPLICATIONS","135,000.00",Year,NULL
UA000162,"MECHANICAL ENGINEERS","75,775.00",Year,NULL
UA000163,"ENGINEERS, ALL OTHER","84,000.00",Year,NULL
UA000164,"NURSE PRACTITIONERS","98,384.00",Year,NULL
UA000165,"OPERATIONS RESEARCH ANALYSTS","70,000.00",Year,NULL
UA000166,"CHEMICAL ENGINEERS","100,536.30",Year,NULL
UA000167,"CHEMICAL ENGINEERS","121,440.00",Year,NULL
UA000168,"COMPUTER SYSTEMS ANALYSTS","61,978.00",Year,NULL
UA000169,"COMPUTER SYSTEMS ANALYSTS","126,000.00",Year,NULL
UA000170,"MANAGEMENT ANALYSTS","135,000.00",Year,NULL
UA000171,PHYSICISTS,"56,098.00",Year,NULL
UA000172,"COMPUTER SCIENCE TEACHERS, POSTSECONDARY","73,755.00",Year,NULL
UA000173,"CHEMICAL ENGINEERS","99,166.47",Year,NULL
UA000174,"COMPUTER PROGRAMMERS","60,000.00",Year,NULL
UA000175,"SOFTWARE DEVELOPERS, APPLICATIONS","67,500.00",Year,NULL
UA000176,"MECHANICAL ENGINEERS","116,735.00",Year,NULL
UA000177,"FINANCIAL ANALYSTS","55,750.00",Year,NULL
UA000178,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER","104,437.00",Year,NULL
UA000179,"SOFTWARE DEVELOPERS, APPLICATIONS","72,821.00",Year,NULL
UA000180,"SOFTWARE DEVELOPERS, APPLICATIONS","72,862.00",Year,NULL
UA000181,"COMPUTER SYSTEMS ANALYSTS","65,000.00",Year,NULL
UA000182,"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND","59,650.00",Year,NULL
UA000183,"BIOLOGICAL SCIENTISTS, ALL OTHER","53,327.00",Year,NULL
UA000184,"COMPUTER OCCUPATIONS, ALL OTHER","45,677.00",Year,NULL
UA000185,"GENERAL AND OPERATIONS MANAGERS","68,453.00",Year,NULL
UA000186,"DATABASE ADMINISTRATORS","62,982.00",Year,NULL
UA000187,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS","53,607.00",Year,NULL
UA000188,"COMPUTER PROGRAMMERS","56,285.00",Year,NULL
UA000189,"NATURAL SCIENCES MANAGERS","70,483.00",Year,NULL
UA000190,"COMPUTER SYSTEMS ANALYSTS","88,168.00",Year,NULL
UA000191,"SOFTWARE DEVELOPERS, APPLICATIONS","65,000.00",Year,NULL
UA000192,"SOFTWARE DEVELOPERS, APPLICATIONS","125,000.00",Year,NULL
UA000193,"SOFTWARE DEVELOPERS, APPLICATIONS","75,000.00",Year,NULL
UA000194,"SOFTWARE DEVELOPERS, APPLICATIONS","76,000.00",Year,NULL
UA000195,"COMPUTER SYSTEMS ANALYSTS","86,700.00",Year,NULL
UA000196,"COMPUTER OCCUPATIONS, ALL OTHER","65,000.00",Year,NULL
UA000197,"COMPUTER SYSTEMS ANALYSTS","77,300.00",Year,NULL
UA000198,"FINANCIAL SPECIALISTS, ALL OTHER","175,000.00",Year,NULL
UA000199,"ACCOUNTANTS AND AUDITORS",23.44,Hour,NULL
UA000200,"FAMILY AND GENERAL PRACTITIONERS",194.73,Hour,NULL
UA000201,"SOFTWARE DEVELOPERS, APPLICATIONS","111,000.00",Year,NULL
UA000202,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE","145,000.00",Year,NULL
UA000203,"INFORMATION SECURITY ANALYSTS","147,000.00",Year,NULL
UA000204,"MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","84,550.00",Year,NULL
UA000205,"COMPUTER OCCUPATIONS, ALL OTHER","120,000.00",Year,NULL
UA000206,"SOFTWARE DEVELOPERS, APPLICATIONS","103,022.00",Year,NULL
UA000207,"COMPUTER SYSTEMS ANALYSTS","62,358.00",Year,NULL
UA000208,"OPERATIONS RESEARCH ANALYSTS","110,000.00",Year,NULL
UA000209,"SOFTWARE DEVELOPERS, APPLICATIONS","103,688.00",Year,NULL
UA000210,"INFORMATION SECURITY ANALYSTS","147,000.00",Year,NULL
UA000211,"OPERATIONS RESEARCH ANALYSTS","80,000.00",Year,NULL
UA000212,"SOFTWARE DEVELOPERS, APPLICATIONS","113,506.00",Year,NULL
UA000213,"SOFTWARE DEVELOPERS, APPLICATIONS","88,900.00",Year,NULL
UA000214,"SOFTWARE DEVELOPERS, APPLICATIONS","69,014.00",Year,NULL
UA000215,CHEMISTS,"50,316.00",Year,NULL
UA000216,"INDUSTRIAL ENGINEERS","70,512.00",Year,NULL
UA000217,"INDUSTRIAL PRODUCTION MANAGERS","113,402.00",Year,NULL
UA000218,"SOFTWARE DEVELOPERS, APPLICATIONS","126,500.00",Year,NULL
UA000219,"COMPUTER SYSTEMS ANALYSTS","92,123.00",Year,NULL
UA000220,"FAMILY AND GENERAL PRACTITIONERS",64.83,Hour,NULL
UA000221,"BIOCHEMISTS AND BIOPHYSICISTS","63,417.00",Year,NULL
UA000222,"FINANCIAL ANALYSTS","105,000.00",Year,NULL
UA000223,"FINANCIAL SPECIALISTS, ALL OTHER","74,672.00",Year,NULL
UA000224,"SOFTWARE DEVELOPERS, APPLICATIONS","142,168.00",Year,NULL
UA000225,"SOFTWARE DEVELOPERS, APPLICATIONS","100,200.00",Year,NULL
UA000226,"CHEMICAL ENGINEERS","91,770.00",Year,NULL
UA000227,"WEB DEVELOPERS","63,419.00",Year,NULL
UA000228,"ELECTRICAL ENGINEERS","105,000.00",Year,NULL
UA000229,"FINANCIAL SPECIALISTS, ALL OTHER","115,000.00",Year,NULL
UA000230,"COMPUTER OCCUPATIONS, ALL OTHER","73,700.00",Year,NULL
UA000231,"SOFTWARE DEVELOPERS, APPLICATIONS","96,250.00",Year,NULL
UA000232,"COMPUTER SYSTEMS ANALYSTS","122,000.00",Year,NULL
UA000233,"SOFTWARE DEVELOPERS, APPLICATIONS","70,380.00",Year,NULL
UA000234,"COMPUTER SYSTEMS ANALYSTS","74,400.00",Year,NULL
UA000235,"SOFTWARE DEVELOPERS, APPLICATIONS","80,371.00",Year,NULL
UA000236,"SOFTWARE DEVELOPERS, APPLICATIONS","85,530.00",Year,NULL
UA000237,"SOFTWARE DEVELOPERS, APPLICATIONS","82,098.00",Year,NULL
UA000238,"HEALTH SPECIALTIES TEACHERS, POSTSECONDARY","115,000.00",Year,NULL
UA000239,"FINANCIAL ANALYSTS","83,741.00",Year,NULL
UA000240,"SOFTWARE DEVELOPERS, APPLICATIONS, NON R&D","83,595.00",Year,NULL
UA000241,"SOFTWARE DEVELOPERS, APPLICATIONS","125,549.00",Year,NULL
UA000242,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER","115,211.25",Year,NULL
UA000243,"SOFTWARE DEVELOPERS, APPLICATIONS","80,371.00",Year,NULL
UA000244,"PRODUCERS AND DIRECTORS","75,000.00",Year,NULL
UA000245,"COMPUTER SYSTEMS ANALYSTS","72,946.00",Year,NULL
UA000246,"OPERATIONS RESEARCH ANALYSTS","85,155.00",Year,NULL
UA000247,"SOFTWARE DEVELOPERS, APPLICATIONS","145,000.00",Year,NULL
UA000248,"FINANCIAL SPECIALISTS, ALL OTHER","74,672.00",Year,NULL
UA000249,"SOFTWARE DEVELOPERS, APPLICATIONS","109,127.00",Year,NULL
UA000250,STATISTICIANS,"78,640.00",Year,NULL
UA000251,"PURCHASING MANAGERS","81,300.00",Year,NULL
UA000252,"SOFTWARE DEVELOPERS, APPLICATIONS","76,200.00",Year,NULL
UA000253,"COMPUTER OCCUPATIONS, ALL OTHER","135,000.00",Year,NULL
UA000254,"SOFTWARE DEVELOPERS, APPLICATIONS","67,500.00",Year,NULL
UA000255,"SOFTWARE DEVELOPERS, APPLICATIONS","80,371.00",Year,NULL
UA000256,"SOFTWARE DEVELOPERS, APPLICATIONS","82,098.00",Year,NULL
UA000257,"SOFTWARE DEVELOPERS, APPLICATIONS","119,475.00",Year,NULL
UA000258,"SOFTWARE DEVELOPERS, APPLICATIONS","96,646.00",Year,NULL
UA000259,"INFORMATION SECURITY ANALYSTS","85,900.00",Year,NULL
UA000260,"COMPUTER PROGRAMMERS","64,000.00",Year,NULL
UA000261,"COMPUTER OCCUPATIONS, ALL OTHER","68,000.00",Year,NULL
UA000262,"SOFTWARE DEVELOPERS, APPLICATIONS","71,000.00",Year,NULL
UA000263,"PHYSICIANS AND SURGEONS, ALL OTHER",57.03,Hour,NULL
UA000264,"MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","45,200.00",Year,NULL
UA000265,"ELECTRICAL ENGINEERS","97,092.00",Year,NULL
UA000266,"INTERIOR DESIGNERS","91,000.00",Year,NULL
UA000267,"COMPUTER SYSTEMS ANALYSTS","130,000.00",Year,NULL
UA000268,"ELECTRICAL ENGINEERS","68,120.00",Year,NULL
UA000269,"COMPUTER OCCUPATIONS, ALL OTHER","78,984.00",Year,NULL
UA000270,"SOFTWARE DEVELOPERS, APPLICATIONS","118,000.00",Year,NULL
UA000271,"WEB DEVELOPERS","68,266.00",Year,NULL
UA000272,"COMPUTER OCCUPATIONS, ALL OTHER","87,400.00",Year,NULL
UA000273,"ELECTRICAL ENGINEERS","91,687.20",Year,NULL
UA000274,"SOFTWARE DEVELOPERS, APPLICATIONS","125,000.00",Year,NULL
UA000275,"COMPUTER PROGRAMMERS","73,625.00",Year,NULL
UA000276,"COMPUTER SYSTEMS ANALYSTS","86,653.00",Year,NULL
UA000277,"MANAGEMENT ANALYSTS","80,000.00",Year,NULL
UA000278,"SOFTWARE DEVELOPERS, APPLICATIONS","100,000.00",Year,NULL
UA000279,"COMPUTER SYSTEMS ANALYSTS","76,000.00",Year,NULL
UA000280,"SOFTWARE DEVELOPERS, APPLICATIONS","113,755.00",Year,NULL
UA000281,"SOFTWARE DEVELOPERS, APPLICATIONS","92,768.00",Year,NULL
UA000282,"SOFTWARE DEVELOPERS, APPLICATIONS","83,970.00",Year,NULL
UA000283,"ELECTRICAL ENGINEERS","113,300.00",Year,NULL
UA000284,"COMPUTER OCCUPATIONS, ALL OTHER","78,500.00",Year,NULL
UA000285,"SOFTWARE DEVELOPERS, APPLICATIONS","85,000.00",Year,NULL
UA000286,LOGISTICIANS,"65,771.36",Year,NULL
UA000287,"COMPUTER PROGRAMMERS","70,554.00",Year,NULL
UA000288,"COMPUTER SYSTEMS ANALYSTS","117,000.00",Year,NULL
UA000289,"SOFTWARE DEVELOPERS, APPLICATIONS","100,000.00",Year,NULL
UA000290,"COMPUTER SYSTEMS ANALYSTS","64,000.00",Year,NULL
UA000291,"ACCOUNTANTS AND AUDITORS","58,000.00",Year,NULL
UA000292,"SOFTWARE DEVELOPERS, APPLICATIONS",41.63,Hour,NULL
UA000293,"BIOCHEMISTS AND BIOPHYSICISTS","49,164.00",Year,NULL
UA000294,"COMPUTER PROGRAMMERS","72,904.00",Year,NULL
UA000295,"COMPUTER PROGRAMMERS","65,187.00",Year,NULL
UA000296,"COMPUTER SYSTEMS ANALYSTS","100,000.00",Year,NULL
UA000297,"COMPUTER SYSTEMS ANALYSTS","97,200.00",Year,NULL
UA000298,"COMPUTER SYSTEMS ANALYSTS","82,800.00",Year,NULL
UA000299,"COMPUTER SYSTEMS ANALYSTS","70,350.00",Year,NULL
UA000300,"COMPUTER SYSTEMS ANALYSTS","76,731.00",Year,NULL
UA000301,"COMPUTER PROGRAMMERS","90,646.00",Year,NULL
UA000302,"COMPUTER SYSTEMS ANALYSTS","75,700.00",Year,NULL
UA000303,"COMPUTER SYSTEMS ANALYSTS","82,800.00",Year,NULL
UA000304,"COMPUTER SYSTEMS ANALYSTS","70,350.00",Year,NULL
UA000305,"COMPUTER SYSTEMS ANALYSTS","106,000.00",Year,NULL
UA000306,"COMPUTER SYSTEMS ANALYSTS","98,000.00",Year,NULL
UA000307,"COMPUTER SYSTEMS ANALYSTS","82,800.00",Year,NULL
UA000308,"COMPUTER AND INFORMATION SYSTEMS MANAGERS","189,370.88",Year,NULL
UA000309,"COMPUTER OCCUPATIONS, ALL OTHER","61,152.00",Year,NULL
UA000310,"SOFTWARE DEVELOPERS, APPLICATIONS","64,100.00",Year,NULL
UA000311,"COMPUTER PROGRAMMERS","73,500.00",Year,NULL
UA000312,"BIOLOGICAL SCIENTISTS, ALL OTHER","43,576.00",Year,NULL
UA000313,"ACCOUNTANTS AND AUDITORS",31.26,Hour,NULL
UA000314,"COMPUTER OCCUPATIONS, ALL OTHER","110,000.00",Year,NULL
UA000315,"SOFTWARE DEVELOPERS, APPLICATIONS","123,000.00",Year,NULL
UA000316,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER","133,910.00",Year,NULL
UA000317,"PHYSICAL THERAPISTS",38.97,Hour,NULL
UA000318,"SOFTWARE DEVELOPERS, APPLICATIONS",56.00,Hour,NULL
UA000319,"SOFTWARE DEVELOPERS, APPLICATIONS","95,000.00",Year,NULL
UA000320,"SOFTWARE DEVELOPERS, APPLICATIONS","93,000.00",Year,NULL
UA000321,"COMPUTER PROGRAMMERS",40.00,Hour,NULL
UA000322,"COMPLIANCE OFFICERS","69,014.00",Year,NULL
UA000323,"SOFTWARE DEVELOPERS, APPLICATIONS","87,693.00",Year,NULL
UA000324,"SOFTWARE DEVELOPERS, APPLICATIONS","92,019.00",Year,NULL
UA000325,"SOFTWARE DEVELOPERS, APPLICATIONS","120,000.00",Year,NULL
UA000326,"DATABASE ADMINISTRATORS","115,000.00",Year,NULL
UA000327,"SOFTWARE DEVELOPERS, APPLICATIONS","100,100.00",Year,NULL
UA000328,"COMPUTER PROGRAMMERS","73,500.00",Year,NULL
UA000329,"MECHANICAL ENGINEERS","77,002.00",Year,NULL
UA000330,"COMPUTER PROGRAMMERS","63,357.00",Year,NULL
UA000331,"COMPUTER OCCUPATIONS, ALL OTHER","66,851.00",Year,NULL
UA000332,"COMPUTER OCCUPATIONS, ALL OTHER","70,075.00",Year,NULL
UA000333,"COMPUTER OCCUPATIONS, ALL OTHER","82,493.00",Year,NULL
UA000334,"COMPUTER OCCUPATIONS, ALL OTHER","114,700.00",Year,NULL
UA000335,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE","99,400.00",Year,NULL
UA000336,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE","99,400.00",Year,NULL
UA000337,"MECHANICAL ENGINEERS","69,452.00",Year,NULL
UA000338,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE","99,400.00",Year,NULL
UA000339,"COMPUTER OCCUPATIONS, ALL OTHER","70,076.00",Year,NULL
UA000340,"COMPUTER AND INFORMATION SYSTEMS MANAGERS","161,845.00",Year,NULL
UA000341,"SOFTWARE DEVELOPERS, APPLICATIONS","92,768.00",Year,NULL
UA000342,"ART, DRAMA, AND MUSIC TEACHERS, POSTSECONDARY","60,000.00",Year,NULL
UA000343,"COMPUTER OCCUPATIONS, ALL OTHER","110,000.00",Year,NULL
UA000344,CHEMISTS,"123,200.00",Year,NULL
UA000345,"SOFTWARE DEVELOPERS, APPLICATIONS","83,533.00",Year,NULL
UA000346,"COMPUTER AND INFORMATION SYSTEMS MANAGERS",39.00,Hour,NULL
UA000347,"DATABASE ADMINISTRATORS","112,000.00",Year,NULL
