JobApplyActivityId,JobId,UserAccountId,ApplyDate
76,2854,UA009553,2018-08-24
77,16343,UA001868,2018-05-30
78,16181,UA009345,2018-09-26
79,18441,UA004438,2018-06-22
80,303,UA001481,2018-07-23
81,20618,UA010054,2018-05-26
82,19543,UA002533,2018-09-11
83,3762,UA001353,2018-06-02
84,5801,UA003943,2018-07-25
85,11262,UA007096,2018-07-31
86,6979,UA004228,2018-08-25
87,18003,UA004881,2018-09-08
88,12937,UA007046,2018-09-16
89,18092,UA008054,2018-06-01
90,15428,UA007751,2018-05-05
91,14638,UA001600,2018-07-17
92,14693,UA006450,2018-07-27
93,4392,UA009745,2018-05-08
94,14033,UA006481,2018-09-19
95,7963,UA007544,2018-09-19
96,20510,UA008509,2018-09-23
97,16472,UA005107,2018-05-14
98,18784,UA009177,2018-08-13
99,16302,UA009138,2018-09-15
100,6993,UA009511,2018-05-01
101,20913,UA003506,2018-09-04
102,1400,UA002788,2018-08-02
103,12107,UA001107,2018-08-24
104,14441,UA004941,2018-09-30
105,1802,UA004603,2018-07-12
106,12521,UA003889,2018-08-24
107,15139,UA008276,2018-05-19
108,11314,UA003590,2018-09-27
109,120,UA004677,2018-06-07
110,18102,UA006705,2018-09-25
111,10337,UA005312,2018-06-15
112,317,UA004207,2018-09-14
113,17727,UA009845,2018-07-11
114,657,UA000413,2018-06-05
115,18007,UA008521,2018-08-20
116,19706,UA006829,2018-06-06
117,10781,UA008714,2018-05-10
118,15514,UA008570,2018-05-18
119,6350,UA002241,2018-08-24
120,14319,UA009488,2018-06-23
121,20874,UA008650,2018-07-17
122,3534,UA004040,2018-09-27
123,7394,UA006148,2018-06-22
124,1084,UA000770,2018-08-04
125,17574,UA008849,2018-06-09
126,1148,UA009019,2018-05-30
127,11768,UA009715,2018-08-18
128,18371,UA007118,2018-07-04
129,2903,UA004867,2018-07-02
130,8729,UA007190,2018-05-16
131,18001,UA006924,2018-05-15
132,15524,UA002259,2018-08-27
133,6800,UA001597,2018-09-03
134,12202,UA007468,2018-05-03
135,9230,UA009963,2018-06-07
136,14457,UA006336,2018-05-05
137,7846,UA001786,2018-08-19
138,2307,UA000688,2018-07-16
139,8562,UA007888,2018-09-06
140,15911,UA000995,2018-05-03
141,164,UA000302,2018-07-30
142,15604,UA000210,2018-05-07
143,5476,UA008261,2018-05-26
144,7845,UA003309,2018-09-07
145,11499,UA002875,2018-07-19
146,15297,UA004758,2018-08-09
147,7871,UA008987,2018-05-05
148,14208,UA006598,2018-06-26
149,2649,UA006044,2018-05-26
150,9308,UA005579,2018-08-16
151,20447,UA003664,2018-07-25
152,8207,UA007114,2018-08-26
153,14631,UA006391,2018-07-05
154,12121,UA008200,2018-06-13
155,11155,UA001737,2018-08-06
156,128,UA009276,2018-08-15
157,3442,UA000054,2018-08-04
158,10336,UA005563,2018-06-02
159,8858,UA008381,2018-09-09
160,22,UA005914,2018-08-26
161,12050,UA002591,2018-07-11
162,18566,UA003510,2018-07-18
163,12123,UA003986,2018-09-26
164,17290,UA005167,2018-07-20
165,4027,UA002524,2018-06-18
166,16898,UA005859,2018-05-19
167,10935,UA009604,2018-06-01
168,13903,UA005358,2018-06-24
169,14999,UA009011,2018-09-30
170,20963,UA007667,2018-08-03
171,20746,UA007851,2018-05-08
172,18786,UA000084,2018-06-15
173,3457,UA009024,2018-08-05
174,19706,UA005424,2018-07-31
175,20242,UA002482,2018-07-14
176,18152,UA005616,2018-09-01
177,4690,UA007621,2018-07-04
178,16080,UA006125,2018-07-12
179,18893,UA008589,2018-06-19
180,21018,UA006477,2018-07-15
181,15043,UA007329,2018-08-18
182,10148,UA009202,2018-07-09
183,10674,UA004510,2018-05-17
184,11614,UA004192,2018-07-04
185,21706,UA000897,2018-06-12
186,3247,UA005284,2018-08-16
187,17331,UA009024,2018-08-05
188,8983,UA009973,2018-08-20
189,17280,UA009920,2018-07-15
190,18313,UA003380,2018-06-22
191,7731,UA001694,2018-08-06
192,9684,UA002941,2018-09-23
193,9210,UA002430,2018-08-15
194,8710,UA005031,2018-08-18
195,7269,UA009902,2018-09-24
196,8154,UA001698,2018-07-13
197,20571,UA009458,2018-06-18
198,20780,UA004592,2018-05-14
199,4612,UA005107,2018-08-22
200,20501,UA004427,2018-09-17
201,7874,UA009310,2018-09-26
202,1107,UA000290,2018-05-21
203,1328,UA009464,2018-05-20
204,8850,UA004416,2018-08-01
205,2331,UA007933,2018-06-11
206,16128,UA001785,2018-05-09
207,12620,UA010084,2018-08-03
208,3188,UA007772,2018-06-15
209,10057,UA005206,2018-08-12
210,11612,UA003697,2018-06-12
211,600,UA003858,2018-06-22
212,19653,UA003425,2018-07-08
213,1387,UA007359,2018-07-10
214,20246,UA005508,2018-06-29
215,13631,UA000285,2018-06-24
216,12117,UA007301,2018-07-18
217,6877,UA001413,2018-06-20
218,15750,UA007451,2018-05-27
219,11051,UA004795,2018-09-20
220,1532,UA003626,2018-08-11
221,7810,UA009226,2018-07-15
222,1247,UA001930,2018-08-21
223,8258,UA008684,2018-09-19
224,210,UA006833,2018-06-24
225,21070,UA001354,2018-09-25
226,13463,UA004363,2018-08-04
227,54,UA001959,2018-10-01
228,9526,UA009581,2018-08-29
229,12647,UA007822,2018-06-11
230,14747,UA006094,2018-08-07
231,1968,UA003501,2018-05-23
232,13405,UA002422,2018-09-26
233,1384,UA006034,2018-06-10
234,3708,UA007490,2018-09-05
235,18008,UA006598,2018-07-13
236,10088,UA009694,2018-06-16
237,2871,UA006502,2018-08-29
238,20522,UA009860,2018-07-25
239,20200,UA008782,2018-07-04
240,19372,UA009127,2018-06-07
241,9842,UA000178,2018-07-29
242,19580,UA003720,2018-08-15
243,6728,UA000850,2018-09-03
244,15055,UA005199,2018-05-19
245,20587,UA006030,2018-09-15
246,13528,UA000004,2018-08-25
247,21777,UA003853,2018-08-20
248,13882,UA007346,2018-06-02
249,11153,UA002292,2018-09-01
250,9217,UA006850,2018-06-09
251,6969,UA003583,2018-09-28
252,10871,UA004175,2018-07-20
253,2300,UA008253,2018-07-13
254,14542,UA004360,2018-08-23
255,7971,UA004489,2018-06-03
256,14348,UA000771,2018-09-19
257,1025,UA008372,2018-09-26
258,19496,UA003934,2018-09-15
259,2541,UA007452,2018-07-21
260,2360,UA000972,2018-05-03
261,14394,UA003293,2018-09-29
262,17464,UA006860,2018-09-17
263,4843,UA006659,2018-08-16
264,11956,UA000994,2018-05-17
265,2679,UA005580,2018-09-08
266,19945,UA010170,2018-06-19
267,8774,UA004797,2018-09-13
268,2599,UA007097,2018-09-28
269,11068,UA001212,2018-05-08
270,9477,UA006668,2018-06-05
271,20699,UA005937,2018-07-21
272,6948,UA005672,2018-09-29
273,2850,UA001295,2018-09-17
274,17263,UA004064,2018-07-13
275,11677,UA006591,2018-09-11
276,7082,UA003369,2018-07-16
277,126,UA005055,2018-09-04
278,16862,UA001558,2018-09-20
279,14546,UA007435,2018-08-15
280,1317,UA004808,2018-05-29
281,15899,UA008254,2018-05-16
282,2015,UA005857,2018-06-22
283,16991,UA002058,2018-09-25
284,2412,UA002196,2018-08-29
285,21465,UA006125,2018-09-03
286,6360,UA009475,2018-05-16
287,13258,UA005680,2018-06-06
288,3920,UA006965,2018-07-23
289,21573,UA008314,2018-08-13
290,11720,UA008565,2018-09-01
291,9281,UA006231,2018-07-23
292,10384,UA000485,2018-07-23
293,9142,UA003981,2018-07-29
294,3662,UA006345,2018-06-17
295,11542,UA006516,2018-07-12
296,2286,UA004824,2018-05-15
297,11984,UA005291,2018-08-21
298,17746,UA009790,2018-08-16
299,11956,UA001551,2018-06-30
300,7638,UA003980,2018-08-06
301,2903,UA006590,2018-09-18
302,6100,UA003178,2018-09-01
303,14570,UA004464,2018-09-26
304,4495,UA005465,2018-06-09
305,7421,UA009889,2018-08-20
306,14457,UA007235,2018-06-16
307,16366,UA001563,2018-09-06
308,3856,UA004858,2018-08-06
309,49,UA008806,2018-06-28
310,18885,UA008303,2018-08-20
311,7256,UA005276,2018-05-28
312,9025,UA004279,2018-08-22
313,9448,UA005832,2018-08-16
314,5446,UA007874,2018-05-02
315,13381,UA006557,2018-06-05
316,11342,UA003288,2018-09-09
317,10175,UA008416,2018-09-27
318,13586,UA007689,2018-09-09
319,14028,UA001892,2018-06-25
320,13104,UA000145,2018-06-15
321,9377,UA003603,2018-07-11
322,6642,UA002180,2018-06-26
323,21323,UA005564,2018-09-25
324,332,UA005134,2018-05-08
325,17888,UA003679,2018-07-29
326,7686,UA005283,2018-06-16
327,2644,UA003362,2018-08-28
328,14988,UA006493,2018-07-27
329,7265,UA003387,2018-09-05
330,7745,UA005684,2018-05-10
331,16375,UA006984,2018-07-30
332,1103,UA004581,2018-07-16
333,6616,UA002077,2018-09-01
334,12065,UA005296,2018-09-29
335,8964,UA009225,2018-07-26
336,17588,UA006383,2018-05-22
337,20814,UA006450,2018-08-15
338,15447,UA000726,2018-07-01
339,5676,UA008188,2018-09-25
340,19013,UA009309,2018-09-22
341,11873,UA004064,2018-08-04
342,20603,UA002812,2018-06-14
343,11217,UA002570,2018-06-04
344,19222,UA007706,2018-09-19
345,21282,UA008047,2018-08-15
346,1795,UA009847,2018-09-14
347,2120,UA007273,2018-07-14
348,2921,UA007676,2018-09-03
349,4421,UA005845,2018-07-22
350,7283,UA002159,2018-05-31
351,17678,UA007389,2018-06-21
352,4365,UA009570,2018-08-09
353,840,UA002482,2018-06-12
354,8691,UA002086,2018-08-25
355,20916,UA009761,2018-07-29
356,21260,UA001091,2018-08-06
357,5709,UA003678,2018-07-12
358,3118,UA003956,2018-09-27
359,13446,UA004266,2018-05-19
360,4163,UA006351,2018-09-16
361,12091,UA000758,2018-09-28
362,7456,UA004982,2018-09-24
363,18497,UA002818,2018-07-31
364,5959,UA008749,2018-05-07
365,19606,UA005210,2018-05-16
366,6947,UA004711,2018-05-11
367,8229,UA000162,2018-05-13
368,15846,UA008208,2018-08-08
369,2762,UA005423,2018-09-09
370,16594,UA008092,2018-09-13
371,9277,UA001006,2018-07-15
372,14824,UA001966,2018-07-22
373,15792,UA005826,2018-05-08
374,2194,UA002911,2018-09-22
375,11552,UA007988,2018-08-01
376,5888,UA006796,2018-08-19
377,6705,UA009697,2018-08-19
378,7597,UA008604,2018-10-01
379,14293,UA003933,2018-05-19
380,770,UA003341,2018-08-28
381,5493,UA008398,2018-06-10
382,231,UA010013,2018-08-12
383,6697,UA005700,2018-05-12
384,7306,UA002446,2018-08-06
385,5536,UA000071,2018-07-02
386,14622,UA005679,2018-07-01
387,13329,UA009531,2018-07-23
388,15428,UA000403,2018-08-18
389,15974,UA000656,2018-05-21
390,12247,UA002351,2018-09-04
391,16453,UA008514,2018-07-13
392,7066,UA002597,2018-09-27
393,1841,UA000307,2018-09-03
394,15403,UA005569,2018-05-07
395,19219,UA007178,2018-06-10
396,4354,UA009405,2018-07-16
397,15869,UA001605,2018-09-17
398,20533,UA005858,2018-06-13
399,5809,UA001094,2018-09-04
400,1733,UA006634,2018-07-06
401,16573,UA001667,2018-05-26
402,11594,UA006682,2018-05-04
403,5521,UA008960,2018-06-07
404,13476,UA009495,2018-06-21
405,1667,UA004673,2018-07-31
406,6602,UA007796,2018-06-28
407,8594,UA000844,2018-09-15
408,3615,UA000935,2018-07-04
409,20657,UA006169,2018-09-07
410,18145,UA003607,2018-08-18
411,9433,UA002358,2018-09-05
412,21679,UA003962,2018-05-19
413,4428,UA005195,2018-08-22
414,7849,UA004553,2018-06-20
415,20115,UA000823,2018-09-11
416,17732,UA008879,2018-09-27
417,20321,UA004677,2018-08-08
418,1493,UA008749,2018-09-30
419,14458,UA000236,2018-09-14
420,3951,UA001965,2018-09-20
421,2702,UA002089,2018-05-26
422,3842,UA003508,2018-05-15
423,12172,UA009469,2018-06-11
424,1509,UA009916,2018-06-16
425,15474,UA001630,2018-09-19
426,13,UA009728,2018-07-23
427,10476,UA009549,2018-09-18
428,10764,UA004846,2018-09-09
429,13705,UA000914,2018-08-23
430,4473,UA007069,2018-08-29
431,7099,UA008887,2018-07-15
432,13374,UA006878,2018-08-31
433,3881,UA007209,2018-05-21
434,12531,UA003273,2018-08-03
435,4292,UA009942,2018-08-14
436,6184,UA008286,2018-06-08
437,5121,UA007396,2018-05-03
438,14053,UA010077,2018-08-06
439,19626,UA005402,2018-09-11
440,5171,UA009857,2018-06-29
441,20982,UA006216,2018-07-13
442,16588,UA000137,2018-07-04
443,1094,UA008600,2018-05-01
444,12795,UA007259,2018-09-24
445,5429,UA006678,2018-06-03
446,19481,UA009180,2018-05-14
447,4779,UA008426,2018-06-27
448,6878,UA009493,2018-05-17
449,1087,UA002833,2018-05-29
450,14227,UA003447,2018-05-09
451,10458,UA008718,2018-09-23
452,1553,UA007079,2018-08-22
453,9657,UA001424,2018-08-12
454,966,UA004128,2018-06-24
455,228,UA000195,2018-06-15
456,17971,UA005549,2018-09-24
457,4858,UA000303,2018-07-27
458,1081,UA001450,2018-07-09
459,15508,UA008963,2018-05-09
460,17197,UA002842,2018-08-02
461,8046,UA002334,2018-08-16
462,16831,UA006119,2018-08-17
463,18813,UA000599,2018-09-03
464,3235,UA000025,2018-08-30
465,14569,UA000345,2018-09-06
466,14692,UA009842,2018-09-27
467,15685,UA000766,2018-05-11
468,12940,UA001515,2018-08-28
469,5171,UA009456,2018-06-15
470,2919,UA007697,2018-09-05
471,2338,UA007932,2018-08-07
472,3637,UA003658,2018-06-29
473,21553,UA009001,2018-06-10
474,7426,UA005470,2018-07-21
475,16948,UA006071,2018-06-23
476,5817,UA007211,2018-06-02
477,7838,UA004297,2018-08-20
478,9592,UA006689,2018-07-17
479,10345,UA009360,2018-07-11
480,10014,UA007824,2018-08-24
481,20391,UA003916,2018-08-08
482,7221,UA004494,2018-08-18
483,15015,UA000423,2018-07-06
484,14894,UA006054,2018-05-10
485,11864,UA010061,2018-08-19
486,3012,UA000901,2018-08-09
487,10288,UA004756,2018-08-29
488,7193,UA003735,2018-08-19
489,5086,UA007188,2018-08-09
490,3301,UA002860,2018-08-12
491,17336,UA004719,2018-07-17
492,16850,UA004405,2018-05-13
493,17771,UA002096,2018-05-17
494,555,UA002603,2018-08-20
495,7384,UA005975,2018-06-18
496,3040,UA002451,2018-05-13
497,10123,UA007746,2018-06-15
498,11655,UA002556,2018-05-06
499,21586,UA004612,2018-06-08
500,12864,UA007538,2018-07-03
501,9912,UA008078,2018-06-24
502,10508,UA001233,2018-09-27
503,10791,UA010130,2018-08-27
504,12655,UA002304,2018-05-28
505,1495,UA002570,2018-05-16
506,10998,UA005799,2018-08-08
507,13325,UA000790,2018-07-04
508,3836,UA008796,2018-06-23
509,6560,UA003951,2018-08-28
510,13716,UA007256,2018-07-23
511,13201,UA007996,2018-07-23
512,4066,UA009823,2018-08-05
513,15803,UA005544,2018-07-07
514,21257,UA002226,2018-09-07
515,16394,UA003495,2018-09-18
516,16525,UA001382,2018-08-16
517,9418,UA000783,2018-09-05
518,5694,UA002000,2018-07-30
519,3189,UA009698,2018-05-26
520,17439,UA005165,2018-07-15
521,99,UA009504,2018-06-08
522,20988,UA003348,2018-07-14
523,3359,UA009021,2018-05-14
524,1938,UA001129,2018-09-10
525,15025,UA006548,2018-05-05
526,10336,UA006948,2018-08-15
527,10818,UA003254,2018-06-07
528,20521,UA009628,2018-05-13
529,7947,UA005241,2018-05-24
530,4272,UA006293,2018-07-21
531,7348,UA009830,2018-07-26
532,13404,UA003333,2018-06-02
533,6104,UA008515,2018-08-25
534,5035,UA009945,2018-09-21
535,14304,UA008343,2018-05-11
536,4059,UA004599,2018-06-20
537,11115,UA000387,2018-07-09
538,7168,UA004632,2018-08-25
539,6009,UA001619,2018-05-12
540,16174,UA001701,2018-09-05
541,21644,UA002649,2018-07-15
542,1233,UA002193,2018-09-17
543,18270,UA005389,2018-06-09
544,503,UA001839,2018-08-13
545,13137,UA003366,2018-05-10
546,21111,UA008488,2018-09-03
547,6443,UA006545,2018-05-30
548,17179,UA001893,2018-05-11
549,12861,UA009979,2018-05-04
550,18015,UA007035,2018-07-16
551,2679,UA010061,2018-08-19
552,15247,UA004912,2018-08-25
553,20875,UA006174,2018-07-30
554,7998,UA002179,2018-05-18
555,504,UA000772,2018-06-03
556,20129,UA003901,2018-08-20
557,2351,UA004571,2018-05-27
558,18132,UA000730,2018-05-21
559,17591,UA005178,2018-09-29
560,16727,UA007429,2018-07-25
561,20503,UA001853,2018-05-06
562,15467,UA001021,2018-06-07
563,363,UA000555,2018-06-09
564,11159,UA002364,2018-05-09
565,8771,UA000304,2018-08-12
566,12499,UA008827,2018-07-20
567,21720,UA002029,2018-07-15
568,14045,UA007965,2018-07-13
569,9078,UA002479,2018-06-17
570,9250,UA008001,2018-05-22
571,10724,UA001999,2018-05-01
572,370,UA001041,2018-05-08
573,4618,UA001642,2018-09-10
574,2281,UA002780,2018-08-19
575,8791,UA005693,2018-09-10
576,9086,UA007766,2018-08-13
577,6105,UA009128,2018-06-28
578,18342,UA008164,2018-07-04
579,6796,UA002132,2018-08-03
580,2008,UA009180,2018-05-27
581,9309,UA000145,2018-07-19
582,5120,UA001411,2018-05-24
583,13463,UA006396,2018-07-16
584,1925,UA000156,2018-09-10
585,16967,UA001702,2018-08-24
586,18504,UA008632,2018-09-06
587,21409,UA001392,2018-09-27
588,21779,UA007250,2018-07-09
589,9639,UA010005,2018-07-08
590,2478,UA001489,2018-06-10
591,7179,UA002536,2018-07-04
592,7565,UA001936,2018-08-02
593,12734,UA000790,2018-06-19
594,16715,UA005361,2018-05-03
595,9171,UA008109,2018-05-09
596,10843,UA009926,2018-09-20
597,16502,UA003726,2018-05-16
598,20167,UA000244,2018-07-15
599,13938,UA004988,2018-05-18
600,1481,UA009934,2018-06-02
601,6173,UA000131,2018-07-01
602,5549,UA009806,2018-07-23
603,21652,UA007864,2018-06-28
604,7625,UA005026,2018-06-13
605,1920,UA008833,2018-09-24
606,4848,UA003425,2018-06-30
607,9317,UA002409,2018-06-21
608,17547,UA001429,2018-05-02
609,3545,UA006808,2018-06-29
610,6848,UA003978,2018-05-14
611,20400,UA008950,2018-07-12
612,5805,UA000882,2018-05-10
613,20453,UA004404,2018-09-14
614,17471,UA007844,2018-09-30
615,9489,UA007155,2018-05-27
616,18746,UA000894,2018-07-09
617,15982,UA004358,2018-06-21
618,17183,UA002542,2018-05-13
619,21740,UA007070,2018-09-29
620,19517,UA004373,2018-06-06
621,20763,UA000605,2018-06-15
622,2056,UA009205,2018-10-01
623,17925,UA008932,2018-07-25
624,19241,UA001977,2018-05-15
625,5596,UA004658,2018-08-13
626,7361,UA004948,2018-07-02
627,12673,UA005612,2018-08-04
628,17245,UA000338,2018-07-02
629,11699,UA001169,2018-05-15
630,15470,UA009091,2018-05-20
631,5731,UA004569,2018-06-11
632,438,UA008468,2018-07-24
633,20062,UA005839,2018-09-28
634,7839,UA007478,2018-09-22
635,1149,UA002522,2018-05-28
636,5912,UA006324,2018-09-02
637,8324,UA009149,2018-09-10
638,2068,UA009715,2018-08-21
639,1215,UA003204,2018-07-02
640,4351,UA006332,2018-07-22
641,21007,UA002190,2018-09-17
642,11667,UA009123,2018-05-20
643,1443,UA005199,2018-08-05
644,11196,UA001728,2018-05-29
645,2628,UA001821,2018-05-12
646,14362,UA006824,2018-05-29
647,12320,UA007455,2018-05-04
648,14857,UA003722,2018-05-02
649,9250,UA001504,2018-06-26
650,10237,UA000650,2018-05-01
651,13958,UA001738,2018-06-26
652,13712,UA001444,2018-05-18
653,18311,UA002814,2018-05-25
654,5864,UA005904,2018-08-24
655,14892,UA001253,2018-08-21
656,4945,UA005369,2018-05-27
657,4641,UA003945,2018-07-27
658,3744,UA005628,2018-09-30
659,8683,UA002397,2018-06-28
660,3630,UA007493,2018-09-10
661,2435,UA003610,2018-06-11
662,21643,UA007858,2018-06-27
663,7627,UA007766,2018-07-01
664,1310,UA000376,2018-10-01
665,20837,UA001856,2018-06-01
666,1477,UA005405,2018-06-11
667,2225,UA009880,2018-08-29
668,19500,UA005815,2018-06-24
669,9065,UA008099,2018-08-30
670,20615,UA008068,2018-09-14
671,1574,UA007009,2018-09-15
672,7509,UA002144,2018-08-20
673,8335,UA002041,2018-05-04
674,5252,UA004201,2018-06-05
675,13968,UA000515,2018-06-13
676,15625,UA002710,2018-08-24
677,19030,UA000613,2018-07-05
678,17672,UA001384,2018-07-06
679,8486,UA003827,2018-06-21
680,20527,UA001814,2018-07-09
681,20590,UA007332,2018-05-08
682,3088,UA005697,2018-07-06
683,7682,UA000080,2018-05-24
684,4613,UA005429,2018-07-18
685,21639,UA007555,2018-06-15
686,1435,UA009688,2018-05-29
687,18794,UA002238,2018-07-05
688,3354,UA009063,2018-05-15
689,13005,UA004497,2018-05-02
690,5346,UA009582,2018-06-30
691,2331,UA007007,2018-09-29
692,18809,UA001546,2018-06-28
693,12573,UA004447,2018-05-03
694,11660,UA009125,2018-08-30
695,5462,UA001707,2018-06-06
696,19529,UA000075,2018-06-20
697,9184,UA004175,2018-07-27
698,16398,UA008335,2018-07-17
699,10055,UA009472,2018-05-08
700,14383,UA000482,2018-08-17
701,12089,UA006621,2018-05-05
702,10138,UA000191,2018-05-19
703,12191,UA001910,2018-07-23
704,13001,UA005400,2018-08-01
705,4950,UA009435,2018-09-15
706,15969,UA006625,2018-07-14
707,17378,UA007661,2018-06-27
708,21617,UA004682,2018-05-23
709,4878,UA000269,2018-06-29
710,10610,UA004852,2018-08-21
711,8328,UA003870,2018-09-29
712,5184,UA000608,2018-09-28
713,18139,UA009770,2018-09-03
714,1744,UA002773,2018-05-12
715,7421,UA007188,2018-07-18
716,6635,UA007036,2018-06-17
717,16570,UA007507,2018-06-08
718,9638,UA002891,2018-08-05
719,2255,UA001707,2018-06-06
720,17341,UA009835,2018-06-17
721,10912,UA008832,2018-09-21
722,5077,UA005931,2018-07-16
723,2408,UA007500,2018-06-21
724,18938,UA006720,2018-05-30
725,10609,UA001616,2018-08-23
726,12998,UA007682,2018-07-30
727,1108,UA008662,2018-05-03
728,6128,UA006049,2018-08-05
729,14727,UA008744,2018-05-06
730,11494,UA004559,2018-08-06
731,11537,UA005853,2018-08-06
732,17983,UA001350,2018-07-20
733,21143,UA002408,2018-05-19
734,8449,UA008373,2018-06-21
735,19019,UA009773,2018-08-25
736,21622,UA001229,2018-07-04
737,7316,UA006268,2018-05-28
738,10148,UA007433,2018-05-19
739,19749,UA004689,2018-09-03
740,7913,UA009393,2018-08-07
741,9238,UA003835,2018-05-15
742,17757,UA003680,2018-06-12
743,18515,UA005057,2018-09-11
744,9919,UA006998,2018-07-21
745,21687,UA008808,2018-07-02
746,9657,UA006700,2018-06-02
747,2123,UA003422,2018-05-16
748,12539,UA004202,2018-07-09
749,10572,UA009501,2018-08-23
750,12106,UA007351,2018-07-18
751,16863,UA004035,2018-09-10
752,8490,UA010180,2018-08-10
753,4688,UA005869,2018-06-14
754,5393,UA002963,2018-07-31
755,5282,UA009638,2018-08-22
756,7257,UA000465,2018-05-23
757,18917,UA003816,2018-06-07
758,9374,UA004796,2018-05-27
759,14907,UA009178,2018-09-15
760,10484,UA000895,2018-08-09
761,1856,UA006290,2018-05-31
762,20970,UA008884,2018-08-08
763,16918,UA002513,2018-06-02
764,18379,UA010143,2018-05-15
765,2431,UA004028,2018-07-26
766,14982,UA009932,2018-06-04
767,11939,UA001992,2018-09-13
768,13096,UA002151,2018-08-20
769,14192,UA006372,2018-09-30
770,18820,UA007316,2018-09-13
771,4546,UA009667,2018-07-13
772,11910,UA008839,2018-09-03
773,16066,UA005307,2018-07-14
774,10488,UA001841,2018-06-07
775,13706,UA009081,2018-09-06
776,9231,UA007349,2018-06-06
777,13044,UA009578,2018-05-14
778,6202,UA005781,2018-08-13
779,1926,UA009074,2018-09-03
780,7165,UA001327,2018-07-01
781,8362,UA006458,2018-07-24
782,758,UA002242,2018-05-12
783,3503,UA005136,2018-07-23
784,7101,UA006394,2018-08-29
785,20478,UA008690,2018-07-14
786,3148,UA003136,2018-09-20
787,20366,UA008163,2018-05-20
788,21334,UA000122,2018-05-11
789,4928,UA007158,2018-05-05
790,20554,UA005107,2018-08-30
791,20293,UA008748,2018-07-28
792,12518,UA006782,2018-08-03
793,17997,UA007160,2018-07-05
794,9048,UA008766,2018-05-12
795,10842,UA005866,2018-05-08
796,20158,UA006356,2018-06-03
797,14132,UA001990,2018-06-18
798,14152,UA009527,2018-06-15
799,259,UA003688,2018-07-11
800,2892,UA000210,2018-09-30
801,18527,UA009339,2018-08-12
802,20073,UA000895,2018-08-24
803,19094,UA002036,2018-06-21
804,11353,UA009268,2018-05-23
805,16770,UA006358,2018-05-05
806,2485,UA008812,2018-09-11
807,6181,UA010178,2018-07-20
808,20055,UA009613,2018-05-01
809,10904,UA005704,2018-06-15
810,15024,UA005663,2018-05-15
811,18776,UA009102,2018-07-24
812,5011,UA002587,2018-05-15
813,903,UA005459,2018-08-11
814,15621,UA003903,2018-05-15
815,9669,UA004262,2018-09-25
816,11542,UA003391,2018-06-13
817,18935,UA007881,2018-08-09
818,4309,UA006376,2018-08-12
819,6526,UA006302,2018-06-23
820,12386,UA004129,2018-09-02
821,10550,UA009360,2018-09-29
822,4731,UA000368,2018-08-15
