UserAccountId,IsWorking,StartDate,EndDate,JobTitle,FullTime,CompanyName,WorkSiteCity,WorkSiteState,WorkSiteCountry,WorkSitePostCode,Description
UA000018,Y,2015-09-22,2018-09-22,"PRODUCT LEAD, GLOBAL FOOTBALL",Y,"NIKE, INC.",BEAVERTON,OR,NULL,97005,"COMMERCIAL AND INDUSTRIAL DESIGNERS"
UA000019,N,2015-04-15,2018-04-15,"VALIDATION TEST ENGINEER",Y,"TENNECO, INC.","GRASS LAKE",MI,NULL,49240,"MECHANICAL ENGINEERS"
UA000020,N,2015-05-19,2018-05-18,"STRATEGY ANALYST I",Y,"JOHNSON CONTROLS, INC.",MILWAUKEE,WI,NULL,53209,"FINANCIAL ANALYSTS"
UA000021,N,2015-06-01,2018-01-31,"RESEARCH TECHNICIAN",Y,"GENERAL HOSPITAL CORPORATION",CHARLESTOWN,MA,NULL,2129,"BIOLOGICAL TECHNICIANS"
UA000022,N,2015-07-01,2018-06-30,"STAFF ASSOCIATE",Y,"COLUMBIA UNIVERSITY","NEW YORK",NY,NULL,10032,"BIOLOGICAL SCIENTISTS, ALL OTHER"
UA000023,Y,2016-01-01,2019-01-01,"MANAGER, SERVICES",Y,"EXLSERVICE.COM, LLC","JERSEY CITY",NJ,NULL,7302,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000024,Y,2015-08-16,2018-08-15,"DIRECTOR OF MODERN GREEK STUDIES",Y,"UNIVERSITY OF ILLINOIS",URBANA,IL,NULL,61801,"FOREIGN LANGUAGE AND LITERATURE TEACHERS,"
UA000025,Y,2016-01-12,2018-11-03,"INFORMATIC ANALYST II",Y,"HEALTH SERVICES ADVISORY GROUP, INC.",PHOENIX,AZ,NULL,85016,STATISTICIANS
UA000026,Y,2015-12-01,2018-11-30,"RESEARCH WORKER",Y,"COLUMBIA UNIVERSITY","NEW YORK",NY,NULL,10032,"LIFE SCIENTISTS, ALL OTHER"
UA000027,Y,2015-11-01,2018-10-31,"ASSOCIATE RESEARCH SCIENTIST",Y,"COLUMBIA UNIVERSITY","NEW YORK",NY,NULL,10032,"MEDICAL AND HEALTH SERVICES MANAGERS"
UA000028,Y,2016-01-01,2018-12-31,"POSTDOCTORAL FELLOW",Y,"HARVARD UNIVERSITY",CAMBRIDGE,MA,NULL,2138,"BIOLOGICAL SCIENTISTS, ALL OTHER"
UA000029,Y,2016-01-15,2019-01-14,"POSTDOCTORAL RESEARCH SCIENTIST",Y,"COLUMBIA UNIVERSITY","NEW YORK",NY,NULL,10032,"BIOLOGICAL SCIENTISTS, ALL OTHER"
UA000030,Y,2016-01-01,2018-12-31,"PROFESSOR OF DENTAL MEDICINE",Y,"COLUMBIA UNIVERSITY","NEW YORK",NY,NULL,10032,"HEALTH SPECIALTIES TEACHERS, POSTSECONDARY"
UA000031,N,2015-12-01,2018-11-30,"MARKETING ANALYTICS MANAGER",Y,"BIGCOMMERCE, INC.","SAN FRANCISCO",CA,NULL,94105,"MARKETING MANAGERS"
UA000032,Y,2016-06-01,2019-05-31,"ASSOCIATE RESEARCH SCIENTIST",Y,"COLUMBIA UNIVERSITY","NEW YORK",NY,NULL,10032,"BIOLOGICAL SCIENTISTS, ALL OTHER"
UA000033,Y,2016-02-15,2019-02-14,"SENIOR APPLICATIONS SYSTEMS ENGINEER",Y,"GALAXE.SOLUTIONS, INC",DETROIT,MI,NULL,48226,"SOFTWARE DEVELOPERS, APPLICATIONS"
UA000034,N,2016-07-03,2019-07-02,"SOFTWARE DESIGN ENGINEER IN TEST",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000035,Y,2016-07-03,2019-07-02,"SOFTWARE DESIGN ENGINEER IN TEST",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000036,N,2016-07-03,2019-07-02,"SOFTWARE DESIGN ENGINEER IN TEST",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000037,N,2016-07-03,2019-07-02,"WEB DEVELOPER",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"WEB DEVELOPERS"
UA000038,N,2016-07-03,2019-07-02,"SOFTWARE DESIGN ENGINEER",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000039,N,2016-07-03,2019-07-02,"SOFTWARE DESIGN ENGINEER",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000040,N,2016-07-03,2019-07-02,"SOFTWARE DESIGN ENGINEER",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000041,Y,2016-07-03,2019-07-02,"SOFTWARE DESIGN ENGINEER IN TEST",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000042,Y,2016-07-01,2018-12-03,"MANAGER, STRATEGY, GLOBAL GUM & CANDY CATEGORY",Y,"MONDELEZ GLOBAL LLC","EAST HANOVER",NJ,NULL,7936,"MANAGEMENT ANALYSTS"
UA000043,Y,2016-07-03,2019-07-02,"SOFTWARE DESIGN ENGINEER",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000044,N,2016-07-03,2019-07-02,"SOFTWARE DESIGN ENGINEER",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000045,Y,2016-07-03,2019-07-02,"SOFTWARE DESIGN ENGINEER",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000046,N,2016-07-01,2019-06-30,"STAFF PHYSICAL THERAPIST",Y,"OAKWOOD HEALTHCARE, INC.",WAYNE,MI,NULL,48184,"PHYSICAL THERAPISTS"
UA000047,Y,2016-07-03,2019-07-02,"BI DATA WAREHOUSE DEVELOPER",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000048,N,2016-07-03,2019-07-02,"SOFTWARE DESIGN ENGINEER",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000049,N,2016-07-03,2019-07-02,"SOFTWARE DESIGN ENGINEER",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000050,N,2016-07-03,2019-07-02,"SOFTWARE DESIGN ENGINEER",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000051,N,2016-07-03,2019-07-02,"BI DATA WAREHOUSE DEVELOPER",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000052,Y,2016-08-22,2019-08-22,"ASSOCIATE PRODUCT MANAGER",Y,"LINKEDIN CORPORATION","MOUNTAIN VIEW",CA,NULL,94043,"COMPUTER SYSTEMS ANALYSTS"
UA000053,Y,2016-07-03,2019-07-02,"SOFTWARE DESIGN ENGINEER",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000054,Y,2016-07-03,2019-07-02,"SOFTWARE DESIGN ENGINEER",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000055,Y,2016-08-18,2019-08-17,"BIOMEDICAL SYSTEMS ENGINEER",Y,"ROCHE MOLECULAR SYSTEMS, INC.",PLEASANTON,CA,NULL,94588,"BIOMEDICAL ENGINEERS"
UA000056,Y,2016-09-13,2019-09-12,"SOFTWARE MAINTENANCE ENGINEER",Y,"LIME BROKERAGE LLC",WALTHAM,MA,NULL,2451,"COMPUTER PROGRAMMERS"
UA000057,Y,2016-07-03,2019-07-02,"SOFTWARE DESIGN ENGINEER",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000058,Y,2016-07-03,2019-07-02,"SOFTWARE DESIGN ENGINEER",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000059,N,2016-07-03,2019-07-02,"SOFTWARE DESIGN ENGINEER",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000060,Y,2016-07-03,2019-07-02,"BI DATA WAREHOUSE DEVELOPER",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000061,Y,2016-09-02,2019-09-02,"SOFTWARE DEVELOPER",Y,"ENQBATOR LLC",TROY,MI,NULL,48083,"SOFTWARE DEVELOPERS, APPLICATIONS"
UA000062,N,2016-07-03,2019-07-02,"BI DATA WAREHOUSE DEVELOPER",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000063,Y,2016-07-03,2019-07-02,"INFORMATION TECHNOLOGY PROJECT MANAGER",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000064,N,2016-07-03,2019-07-02,"INFORMATION TECHNOLOGY PROJECT MANAGER",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000065,N,2016-06-01,2019-05-31,"RESEARCH FELLOW",Y,"GENERAL HOSPITAL CORPORATION",CHARLESTOWN,MA,NULL,2129,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS"
UA000066,N,2016-09-13,2019-09-12,ATTORNEY,Y,"HERZFELD & RUBIN, P.C.","NEW YORK",NY,NULL,10004,LAWYERS
UA000067,N,2016-09-06,2019-09-05,"BUSINESS SYSTEMS ANALYST",Y,"V-SOFT CONSULTING GROUP, INC",MADISON,WI,NULL,53783,"COMPUTER SYSTEMS ANALYSTS"
UA000068,N,2016-07-03,2019-07-02,"INFORMATION TECHNOLOGY PROJECT MANAGER",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000069,Y,2016-07-03,2019-07-02,"BI DATA WAREHOUSE DEVELOPER",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000070,Y,2016-07-03,2019-07-02,"SOFTWARE DESIGN ENGINEER",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000071,Y,2016-09-07,2019-09-06,"ANALYST, FRAUD ANALYTICS",Y,"AXCESS FINANCIAL SERVICES, INC.",CINCINNATI,OH,NULL,45236,"FINANCIAL SPECIALISTS, ALL OTHER"
UA000072,N,2016-07-03,2019-07-02,"INFORMATION TECHNOLOGY PROJECT MANAGER",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000073,Y,2016-09-16,2019-09-15,SPECIALIST,Y,"EAG, INC.",LIVERPOOL,NY,NULL,13088,"MATERIALS SCIENTISTS"
UA000074,N,2016-07-03,2019-07-02,"SOFTWARE DESIGN ENGINEER",Y,"DIVENSI INC.",BELLEVUE,WA,NULL,98007,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000075,Y,2016-09-23,2019-09-22,ANALYST/REPORTER,Y,"BRIGHTWIRE, INC.","NEW YORK",NY,NULL,10012,"REPORTERS AND CORRESPONDENTS"
UA000076,N,2016-04-11,2019-04-10,"PRODUCT PLANNER",Y,"VOLKSWAGEN GROUP OF AMERICA, INC.",HERNDON,VA,NULL,20171,"MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS"
UA000077,N,2016-05-02,2019-05-02,"BACKEND ENGINEER",Y,"PERCOLATE INDUSTRIES, INC.","SAN FRANCISCO",CA,NULL,94105,"SOFTWARE DEVELOPERS, APPLICATIONS"
UA000078,N,2016-10-01,2019-09-30,"RESEARCH ASSISTANT",Y,"COLUMBIA UNIVERSITY","NEW YORK",NY,NULL,10032,"BIOLOGICAL TECHNICIANS"
UA000079,N,2016-08-22,2019-08-21,"RESEARCH STATISTICAL ANALYST",Y,"THE UNIVERSITY OF TEXAS M.D. ANDERSON CANCER CENTER",HOUSTON,TX,NULL,77030,STATISTICIANS
UA000080,Y,2016-05-23,2019-05-23,"MATERIAL DEVELOPER II",Y,"NIKE, INC.",BEAVERTON,OR,NULL,97005,"MATERIALS ENGINEERS"
UA000081,Y,2016-07-01,2019-06-30,"PROFESSOR OF FINANCE",Y,"MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT)",CAMBRIDGE,MA,NULL,2139,"BUSINESS TEACHERS, POSTSECONDARY"
UA000082,Y,2016-07-01,2019-07-01,HOSPITALIST,Y,"INDIANA UNIVERSITY HEALTH BALL MEMORIAL PHYSICIANS, INC.",MUNCIE,IN,NULL,47303,"INTERNISTS, GENERAL"
UA000083,Y,2016-04-28,2019-04-27,"SOFTWARE ENGINEER",Y,"GOOGLE INC.","MOUNTAIN VIEW",CA,NULL,94043,"SOFTWARE DEVELOPERS, APPLICATIONS"
UA000084,Y,2016-09-14,2019-09-14,"INSIGHTS ANALYST",Y,"DMI BIG DATA INSIGHTS LLC",MASON,OH,NULL,45040,"COMPUTER PROGRAMMERS"
UA000085,Y,2016-11-26,2019-11-25,"VICE PRESIDENT, INVESTMENTS",Y,"ONE WILLIAM STREET CAPITAL MANAGEMENT, L.P.","NEW YORK",NY,NULL,10104,"FINANCIAL ANALYSTS"
UA000086,Y,2016-09-15,2019-09-14,"SOFTWARE ENGINEER",Y,"CALIX, INC.",PETALUMA,CA,NULL,94954,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE"
UA000087,N,2016-06-20,2018-06-20,DIRECTOR,Y,"CHATHAM FINANCIAL CORPORATION",LITTLETON,CO,NULL,80127,"ACCOUNTANTS AND AUDITORS"
UA000088,Y,2016-06-15,2019-06-14,"BUDGET COORDINATOR",Y,"DREXEL UNIVERSITY",PHILADELPHIA,PA,NULL,19104,"BUDGET ANALYSTS"
UA000089,Y,2016-09-01,2019-08-31,"SENIOR DATA ANALYST",Y,"COLUMBIA UNIVERSITY","NEW YORK",NY,NULL,10032,STATISTICIANS
UA000090,N,2016-08-15,2019-08-14,"SENIOR BUSINESS ANALYST",Y,"GOLDENTREE ASSET MANAGEMENT, LP","NEW YORK",NY,NULL,10017,"MANAGEMENT ANALYSTS"
UA000091,Y,2017-01-02,2020-01-01,"ASSISTANT PROFESSOR",Y,"UNIVERSITY OF MICHIGAN",FLINT,MI,NULL,48502,"COMPUTER SCIENCE TEACHERS, POSTSECONDARY"
UA000092,N,2016-09-10,2019-09-09,"NETWORK ADMINISTRATOR",Y,"V-SOFT CONSULTING GROUP, INC","FORT WORTH",TX,NULL,76155,"NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS"
UA000093,N,2016-10-20,2017-10-19,"TECHNICIAN B",Y,"COLUMBIA UNIVERSITY","NEW YORK",NY,NULL,10032,"LIFE SCIENTISTS, ALL OTHER"
UA000094,N,2016-09-26,2019-09-26,"SENIOR SOFTWARE ENGINEER",Y,"DEVICEBOOK, INC.",BELLEVUE,WA,NULL,98005,"COMPUTER AND INFORMATION RESEARCH SCIENTISTS"
UA000095,N,2016-09-01,2019-08-31,"PROGRAMMER ANALYST",Y,"SRS CONSULTING INC.","SAN JOSE",CA,NULL,95134,"COMPUTER PROGRAMMERS"
UA000096,N,2017-07-01,2019-07-01,"ENGINEERING MANAGER, CALIFORNIA AND NEVADA",Y,"FUTURIS AUTOMOTIVE (US) INC.",NEWARK,CA,NULL,94560,"ARCHITECTURAL AND ENGINEERING MANAGERS"
UA000097,Y,2017-01-09,2019-01-09,"COMMUNICATIONS SPECIALIST",Y,"SAMUEL AND SONS PASSEMENTERIE INC","LOS ANGELES",CA,NULL,90069,"PUBLIC RELATIONS SPECIALISTS"
UA000098,Y,2017-03-16,2020-03-15,"SYSTEMS ANALYST",Y,"V-SOFT CONSULTING GROUP, INC","DOWNERS GROVE",IL,NULL,60515,"COMPUTER SYSTEMS ANALYSTS"
UA000099,Y,2017-01-16,2020-01-15,"SOFTWARE ENGINEER",N,"ORCAFLY, INC.","SANTA CLARA",CA,NULL,95054,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE"
UA000100,N,2017-06-18,2020-06-17,"SOFTWARE ENGINEER 1615,24572",Y,"GOOGLE INC.","MOUNTAIN VIEW",CA,NULL,94043,"SOFTWARE DEVELOPERS, APPLICATIONS"
UA000101,Y,2017-02-04,2020-02-04,"SENIOR ETL DEVELOPER / ARCHITECT",Y,"CARLSON WAGONLIT TRAVEL",MINNETONKA,MN,NULL,55305,"DATABASE ADMINISTRATORS"
UA000102,N,2017-07-20,2020-07-19,"STRATEGY ANALYST",Y,"SIEGEL & GALE, LLC","LOS ANGELES",CA,NULL,90066,"PUBLIC RELATIONS SPECIALISTS"
UA000103,Y,2017-01-16,2020-01-15,"SENIOR TECHNICAL LEAD",Y,"NIKE, INC.",BEAVERTON,OR,NULL,97005,"SOFTWARE DEVELOPERS, APPLICATIONS"
UA000104,N,2017-08-26,2020-08-25,"TECHNICAL EVANGELIST (SOFTWARE DEVELOPER)",Y,"UNIHORN LABS LLC",AUSTIN,TX,NULL,78705,"SOFTWARE DEVELOPERS, APPLICATIONS"
UA000105,N,2017-08-01,2020-07-31,"INSIGHTS ANALYST",Y,"SIEGEL & GALE, LLC","NEW YORK",NY,NULL,10011,"PUBLIC RELATIONS SPECIALISTS"
UA000106,N,2017-08-09,2020-08-08,"MANAGER, MEMBER SERVICES",Y,"JET.COM, INC.",DRAPER,UT,NULL,84020,"MANAGEMENT ANALYSTS"
UA000107,N,2017-08-07,2020-08-06,"SENIOR SOFTWARE ENGINEER 1 (FRONT END)",Y,"JET.COM, INC.",HOBOKEN,NJ,NULL,7030,"SOFTWARE DEVELOPERS, APPLICATIONS"
UA000108,Y,2017-08-09,2020-08-08,"ASSOCIATE DIRECTOR - ENGINEERING",Y,"JET.COM, INC.",HOBOKEN,NJ,NULL,7030,"SOFTWARE DEVELOPERS, APPLICATIONS"
UA000109,Y,2017-10-15,2020-10-14,"RESEARCH PROJECT LEADER",N,"THE OHIO UNIVERSITY",ATHENS,OH,NULL,45701,"MATERIALS SCIENTISTS"
UA000110,Y,2017-08-07,2020-08-06,"SENIOR MANAGER, CATEGORY MANAGEMENT",Y,"JET.COM, INC.",HOBOKEN,NJ,NULL,7030,"MARKETING MANAGERS"
UA000111,Y,2017-08-21,2020-08-20,"SENIOR BUSINESS ANALYST",Y,"CAPITAL ONE SERVICES, LLC",MCLEAN,VA,NULL,22102,ECONOMISTS
UA000112,Y,2017-08-20,2020-08-19,"APPLICATIONS ENGINEER",Y,"NATIONAL INSTRUMENTS CORPORATION",AUSTIN,TX,NULL,78759,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000113,Y,2017-08-31,2020-08-31,"GLOBAL SUPPLY CHAIN SPECIALIST",Y,"MERCY CORPS",PORTLAND,OR,NULL,97204,LOGISTICIANS
UA000114,Y,2017-08-20,2020-08-19,"APPLICATIONS ENGINEER",Y,"NATIONAL INSTRUMENTS CORPORATION",AUSTIN,TX,NULL,78759,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000115,N,2017-03-13,2020-03-12,"SOFTWARE ENGINEER IV",Y,"ZOLL DATA SYSTEMS, INC.",BROOMFIELD,CO,NULL,80021,"SOFTWARE DEVELOPERS, APPLICATIONS"
UA000116,Y,2017-08-30,2020-08-29,"SOFTWARE ENGINEER 3",Y,"JET.COM, INC.",HOBOKEN,NJ,NULL,7030,"SOFTWARE DEVELOPERS, APPLICATIONS"
UA000117,Y,2017-03-01,2020-02-28,"RESEARCH ASSOCIATE - EXPERIMENTAL",Y,"STANFORD UNIVERSITY/SLAC NATIONAL ACCELERATOR LABORATORY","MENLO PARK",CA,NULL,94025,"PHYSICAL SCIENTISTS, ALL OTHER"
UA000118,N,2017-05-06,2020-05-05,"ASSISTANT PROFESSOR",Y,"UNIVERSITY OF CENTRAL FLORIDA",ORLANDO,FL,NULL,32816,"ENGINEERING TEACHERS, POSTSECONDARY"
UA000119,Y,2017-07-26,2020-07-25,"PROGRAMMER ANALYST",Y,"SLCS SOLUTIONS, INC.",FRAMINGHAM,MA,NULL,1702,"COMPUTER PROGRAMMERS"
UA000120,N,2017-08-20,2020-08-19,"APPLICATIONS ENGINEER",Y,"NATIONAL INSTRUMENTS CORPORATION",AUSTIN,TX,NULL,78759,"COMPUTER OCCUPATIONS, ALL OTHER"
UA000121,N,2017-07-16,2020-07-15,"POSTDOCTORAL RESEARCH ASSOCIATE",Y,"UNIVERSITY OF ILLINOIS",URBANA,IL,NULL,61801,"AGRICULTURAL ENGINEERS"
UA000122,N,2017-08-28,2020-08-27,"PROGRAM COORDINATOR",Y,"CHINA GENERAL CHAMBER OF COMMERCE - USA","NEW YORK",NY,NULL,10017,"PUBLIC RELATIONS SPECIALISTS"
UA000123,N,2017-08-30,2020-08-29,"MANAGER, RETAIL ANALYTICS",Y,"JET.COM, INC.",HOBOKEN,NJ,NULL,7030,"OPERATIONS RESEARCH ANALYSTS"
UA000124,N,2017-08-27,2020-08-26,"SENIOR MANAGER 2, PRODUCT",Y,"JET.COM, INC.","JERSEY CITY",NJ,NULL,7030,"MANAGEMENT ANALYSTS"
UA000125,Y,2017-08-30,2020-08-29,"SENIOR MANAGER, FRESH FULFILLMENT",Y,"JET.COM, INC.",HOBOKEN,NJ,NULL,7030,"MANAGEMENT ANALYSTS"
UA000126,Y,2017-08-21,2020-08-20,"SENIOR SOFTWARE ENGINEER",Y,"CAPITAL ONE SERVICES, LLC",MCLEAN,VA,NULL,22102,"SOFTWARE DEVELOPERS, APPLICATIONS"
UA000127,Y,2017-08-26,2020-08-25,"ANALYST, FULFILLMENT STRATEGY",Y,"JET.COM, INC.","JERSEY CITY",NJ,NULL,7030,"MANAGEMENT ANALYSTS"
UA000128,N,2017-11-06,2019-11-06,"STUDIO CURATOR",N,"CREATIVE GROWTH ART CENTER, INC.",OAKLAND,CA,NULL,94612,CURATORS
UA000129,Y,2017-09-03,2020-09-02,"FORMULATION SCIENTIST",Y,"DOW AGROSCIENCES, LLC",INDIANAPOLIS,IN,NULL,46268,"CHEMICAL ENGINEERS"
UA000130,N,2017-09-05,2020-09-05,"MECHANICAL DESIGN ENGINEER",Y,"MAHINDRA ENGINEERING SERVICES LTD",LISLE,IL,NULL,60532,"MECHANICAL ENGINEERS"
UA000131,Y,2017-08-30,2020-08-29,"DIGITAL PRODUCTION DESIGNER AND PHOTOGRAPHER",Y,"CHINA GENERAL CHAMBER OF COMMERCE - USA","NEW YORK",NY,NULL,10017,"GRAPHIC DESIGNERS"
UA000132,N,2017-08-30,2020-08-29,"SPECIALIST, MARKETING ANALYTICS AND DATA CONSULTING",Y,"HAVAS MEDIA GROUP USA LLC","NEW YORK",NY,NULL,10013,"OPERATIONS RESEARCH ANALYSTS"
UA000133,Y,2017-09-01,2020-09-01,"MECHANICAL DESIGN ENGINEER",Y,"MAHINDRA ENGINEERING SERVICES LTD",LISLE,IL,NULL,60532,"MECHANICAL ENGINEERS"
UA000134,Y,2017-09-01,2020-09-01,"MECHANICAL DESIGN ENGINEER",Y,"MAHINDRA ENGINEERING SERVICES LTD",LISLE,IL,NULL,60532,"MECHANICAL ENGINEERS"
UA000135,Y,2017-09-01,2020-09-01,"MECHANICAL DESIGN ENGINEER",Y,"MAHINDRA ENGINEERING SERVICES LTD",LISLE,IL,NULL,60532,"MECHANICAL ENGINEERS"
