JobPostSkillSetId,JobId,SkillSetId,SkillLevel
112,12240,5655,II
113,8541,2750,I
114,18135,2610,II
115,11666,4743,III
116,576,4188,II
117,12227,2980,I
118,4290,3646,II
119,5013,3892,III
120,7117,510,II
121,20644,4000,I
122,11226,3402,II
123,6358,2661,III
124,14671,4162,II
125,5229,1705,I
126,14521,852,II
127,14172,5354,III
128,2063,5427,II
129,17569,1364,I
130,9590,5630,II
131,13210,1100,III
132,9945,652,II
133,3091,4953,I
134,8215,2715,II
135,15921,4127,III
136,20432,5478,II
137,16025,3493,I
138,5975,5058,II
139,17348,5378,III
140,1052,2671,II
141,9430,730,I
142,2816,285,II
143,12489,5642,III
144,15981,1087,II
145,9776,4971,I
146,13697,3593,II
147,17082,336,III
148,20264,4522,II
149,8694,1300,I
150,2664,1897,II
151,7884,5798,III
152,18035,4892,II
153,4699,3579,I
154,4786,5498,II
155,1381,4365,III
156,9237,4675,II
157,880,3629,I
158,16408,72,II
159,11784,1881,III
160,9712,922,II
161,17952,2270,I
162,1302,2248,II
163,14722,5299,III
164,4893,2416,II
165,6520,9,I
166,15861,5254,II
167,4176,733,III
168,2996,4514,II
169,5149,2170,I
170,15987,367,II
171,1390,2144,III
172,21308,73,II
173,13171,874,I
174,20565,4986,II
175,8111,5988,III
176,19532,66,II
177,17162,959,I
178,9405,272,II
179,5131,3725,III
180,1531,239,II
181,18342,2995,I
182,14848,1972,II
183,8938,4390,III
184,17187,1036,II
185,20407,1905,I
186,15055,2590,II
187,21679,935,III
188,17244,3950,II
189,18393,1131,I
190,18980,3051,II
191,17781,5985,III
192,12293,4173,II
193,10129,3586,I
194,20414,2019,II
195,12035,3781,III
196,9850,3131,II
197,6240,3581,I
198,17085,2345,II
199,13005,44,III
200,8123,4888,II
201,12103,5072,I
202,2878,5322,II
203,5462,2774,III
204,15520,5364,II
205,15189,3276,I
206,16522,3153,II
207,12244,1998,III
208,13790,2933,II
209,18812,1994,I
210,17576,2914,II
211,9548,4796,III
212,18719,578,II
213,12557,4251,I
214,5906,5999,II
215,12372,2609,III
216,5085,1893,II
217,16319,3357,I
218,20411,98,II
219,6654,2192,III
220,8758,2479,II
221,3802,1579,I
222,5211,2012,II
223,6611,244,III
224,7556,2767,II
225,17720,3105,I
226,20571,525,II
227,1855,672,III
228,10716,4800,II
229,1308,1769,I
230,19206,5969,II
231,21812,4149,III
232,8135,828,II
233,15893,4519,I
234,17847,2535,II
235,20611,4460,III
236,9473,1438,I
237,10768,2541,II
238,4703,1597,III
239,14555,2714,II
240,21772,4603,I
241,19689,5388,II
242,6622,3743,III
243,2918,1628,II
244,3318,514,I
245,2359,3917,II
246,17680,4356,III
247,15734,942,II
248,16427,3609,I
249,11682,5008,II
250,21162,5135,III
251,14280,4527,II
252,11920,3279,I
253,711,1966,II
254,1275,5637,III
255,8564,582,II
256,5900,398,I
257,8478,2817,II
258,5216,5663,III
259,6253,4993,II
260,14512,5257,I
261,18967,570,II
262,9991,982,III
263,10550,2346,II
264,6384,3925,I
265,4031,5059,II
266,149,2407,III
267,19876,2112,II
268,14575,1882,I
269,3435,523,II
270,18815,5185,III
271,15994,1911,II
272,9215,3557,I
273,5573,2185,II
274,9032,3043,III
275,11788,4803,II
276,5232,5818,I
277,4384,3233,II
278,17081,3961,III
279,12216,3946,II
280,15890,1071,I
281,8399,2495,II
282,11193,2127,III
283,17022,2920,II
284,12583,4007,I
285,4754,5397,II
286,4427,3160,III
287,265,2419,II
288,9543,5706,I
289,14033,1326,II
290,6713,5337,III
291,18474,2010,II
292,11587,5845,I
293,13048,4784,II
294,19062,569,III
295,20045,3564,II
296,4698,591,I
297,7378,5995,II
298,3601,4446,III
299,11502,4446,II
300,13008,4588,I
301,5607,5165,II
302,6130,12,III
303,6444,311,II
304,1649,453,I
305,5543,5854,II
306,2051,2474,III
307,13132,3365,II
308,14364,2398,I
309,18734,5745,II
310,21145,614,III
311,11886,4141,II
312,10110,5312,I
313,11466,1044,II
314,20863,1503,III
315,21408,4371,II
316,6132,1063,I
317,15912,3802,II
318,20702,5405,III
319,19939,3251,II
320,11250,202,I
321,9915,1878,II
322,18387,3665,III
323,18678,3622,II
324,16299,722,I
325,10778,2671,II
326,5274,927,III
327,19869,4458,II
328,4784,4916,I
329,18454,943,II
330,1090,4664,III
331,18378,1096,II
332,2418,2733,I
333,9843,2423,II
334,10574,3818,III
335,15153,4136,II
336,19657,5864,I
337,10814,4053,II
338,18242,2507,III
339,18703,4322,II
340,14407,5111,I
341,9630,1914,II
342,11124,4666,III
343,18286,2354,II
344,9477,654,I
345,10332,4646,II
346,14094,3520,III
347,944,2982,II
348,7390,5098,I
349,7878,5323,II
350,12276,4781,III
351,21171,3667,II
352,7834,3484,I
353,5354,4664,II
354,334,4813,III
355,2034,663,II
356,907,3567,I
357,3923,5198,II
358,3335,3085,III
359,5877,90,II
360,3156,3820,I
361,641,2385,II
362,12294,213,III
363,6309,4654,II
364,20511,5732,I
365,19206,1620,II
366,21516,5618,III
367,11515,4241,II
368,12602,550,I
369,14497,3215,II
370,16484,841,III
371,1094,5412,II
372,3808,4745,I
373,3628,877,II
374,21248,3671,III
375,18204,4127,II
376,21556,5854,I
377,5050,2885,II
378,20326,2926,III
379,14647,5141,II
380,16838,394,I
381,210,1136,II
382,7339,3154,III
383,4931,362,II
384,5712,972,I
385,18106,590,II
386,19652,3503,III
387,17004,1301,II
388,4032,2678,I
389,21379,3441,I
390,3969,703,II
391,14717,5054,III
392,14218,1728,II
393,13897,5450,I
394,9905,1828,II
395,4787,4123,III
396,17648,3682,II
397,19732,2104,I
398,11585,2376,II
399,11669,2090,III
400,19539,5086,II
401,16724,3351,I
402,7006,4776,II
403,15454,4580,III
404,10831,4495,II
405,5776,4208,I
406,16175,5537,II
407,8866,5320,III
408,15550,2431,II
409,20272,4108,I
410,9099,2968,II
411,6950,5499,III
412,14014,5552,II
413,8166,4673,I
414,6521,3233,II
415,2232,5671,III
416,16322,3347,II
417,9919,2075,I
418,14276,1171,II
419,2980,5606,III
420,20862,3492,II
421,19952,1836,I
422,7491,5389,II
423,4341,1037,III
424,15030,3182,II
425,5373,1098,I
426,20478,860,II
427,17263,716,III
428,8501,4343,II
429,8240,1627,I
430,20422,537,II
431,19529,3209,III
432,1409,1028,II
433,7067,4384,I
434,11948,893,II
435,21371,3925,III
436,20517,4837,II
437,1974,834,I
438,4030,2927,II
439,7793,5435,III
440,18402,4899,II
441,4281,375,I
442,7886,2263,II
443,16181,401,III
444,14419,5585,II
445,20176,757,I
446,705,5009,II
447,19984,2702,III
448,10,4907,II
449,7156,241,I
450,12635,3932,II
451,250,3910,III
452,14459,3817,II
453,8623,2908,I
454,6974,1423,II
455,13890,4999,III
456,19016,94,II
457,9884,3863,I
458,7643,1236,II
459,8185,655,III
460,14893,2047,II
461,17494,1922,I
462,10910,1223,II
463,2992,5761,III
464,20895,2827,II
465,2462,1601,I
466,9025,3868,II
467,11313,4827,III
468,10681,1809,II
469,12378,1194,I
470,9598,1579,II
471,20182,2514,III
472,6688,707,II
473,3534,62,I
474,18611,2406,II
475,16883,5925,III
476,543,5986,II
477,16477,5209,I
478,13382,853,II
479,3222,1643,III
480,10883,933,II
481,5573,507,I
482,7867,5189,II
483,10337,4514,III
484,13598,2413,II
485,21738,3458,I
486,10757,4453,II
487,2975,4882,III
488,20169,2179,II
489,2674,4858,I
490,4016,4756,II
491,21768,2002,III
492,5011,4099,II
493,7000,3206,I
494,21415,3505,II
495,15861,5331,III
496,17809,54,II
497,8980,5080,I
498,7491,1110,II
499,3193,25,III
500,18231,5561,II
501,16243,4752,I
502,4246,2340,II
503,2547,1429,III
504,12897,5143,II
505,10873,3728,I
506,8837,377,II
507,20005,2148,III
508,14335,5576,II
509,8457,2908,I
510,5054,1961,II
511,18904,4567,III
512,19280,5129,II
513,4942,672,I
514,3313,4975,II
515,8775,773,III
516,9695,3556,II
517,12081,599,I
518,12272,5476,II
519,19392,3484,III
520,13108,1136,II
521,10046,5067,I
522,994,4659,II
523,19136,1847,III
524,13374,2133,II
525,268,3187,I
526,11072,3579,II
527,10668,705,III
528,14012,166,II
529,8259,1230,I
530,17445,5925,II
531,2531,359,III
532,15570,3966,II
533,7541,4362,I
534,17773,5204,II
535,10620,932,III
536,8293,230,II
537,3144,825,I
538,8161,3694,II
539,2885,4776,III
540,5870,1016,II
541,19239,2085,I
542,20909,4155,II
543,10039,1476,III
544,8134,3640,II
545,1371,888,I
546,4816,2496,II
547,7569,1798,III
548,391,1087,II
549,11806,5402,I
550,2233,4078,II
551,10685,377,III
552,14308,1645,II
553,2431,3167,I
554,8540,2505,II
555,13756,996,III
556,5627,580,II
557,4529,3123,I
558,3993,2676,II
559,3135,1841,III
560,5900,2396,II
561,12642,4887,I
562,581,1769,II
563,6933,1150,III
564,20843,2125,II
565,15924,4150,I
566,3119,406,II
567,2880,5352,III
568,362,688,II
569,16718,3727,I
570,12633,4073,II
571,14468,3101,III
572,17441,5703,II
573,8646,4769,I
574,16763,2751,II
575,16720,4914,III
576,12212,3099,II
577,15162,4696,I
578,6132,3308,II
579,16593,1649,III
580,16064,2459,II
581,7366,1221,I
582,151,4654,II
583,4810,1131,III
584,18368,4855,II
585,4297,5906,I
586,21108,2776,II
587,13701,4816,III
588,15996,140,II
589,19729,1674,I
590,12563,2932,II
591,6229,814,III
592,16197,1357,II
593,14338,5935,I
594,16062,3365,II
595,4339,4989,III
596,15923,4633,II
597,4115,213,I
598,21291,2621,II
599,954,4782,III
600,4978,3741,II
601,8664,674,I
602,18885,2837,II
603,13898,1689,III
604,14761,2860,II
605,4572,5069,I
606,318,4416,II
607,7477,4174,III
608,18106,2657,II
609,2380,3298,I
610,14135,4519,II
611,8741,4355,III
612,12179,3983,II
613,7582,2842,I
614,21671,1703,II
615,16988,4799,III
616,3733,2120,II
617,15654,5152,I
618,11498,1981,II
619,11150,5976,III
620,13353,4244,II
621,1200,57,I
622,13512,5695,II
623,5108,2668,III
624,13955,4685,I
625,4662,3571,II
626,7914,939,III
627,6587,5512,II
628,16883,165,I
629,17407,837,II
630,14253,3939,III
631,6638,3067,II
632,3508,4308,I
633,17723,4083,II
634,6872,2087,III
635,20401,2056,II
636,8864,2507,I
637,2745,1603,II
638,14369,1347,III
639,19967,4809,II
640,20349,1098,I
641,21000,4936,II
642,17354,5626,III
643,11009,5710,II
644,5867,1772,I
645,1468,1199,II
646,1571,1076,III
647,108,713,II
648,8964,5296,I
649,3539,1608,II
650,17850,3553,III
651,21808,237,II
652,16867,3999,I
653,2034,2452,II
654,16863,760,III
655,18893,454,II
656,12318,2220,I
657,4213,611,II
658,1823,2541,III
659,13667,4567,II
660,3752,1235,I
661,20898,3708,II
662,14628,2712,III
663,497,5766,II
664,3435,1827,I
665,11391,2156,II
666,4916,5409,III
667,4576,587,II
668,7788,222,I
669,12678,2302,II
670,20683,825,III
671,7834,5079,II
672,10610,744,I
673,21665,3956,II
674,15402,1571,III
675,3621,5753,II
676,853,1907,I
677,6706,675,II
678,2130,4996,III
679,8107,203,II
680,5999,2845,I
681,1208,1885,II
682,12387,3647,III
683,19079,3869,II
684,16240,3236,I
685,10562,5208,II
686,9797,2847,III
687,9011,2635,II
688,7965,3764,I
689,13682,291,II
690,21768,1113,III
691,17626,850,II
692,10359,5673,I
693,1818,5705,II
694,12573,1559,III
695,15891,4133,II
696,3902,918,I
697,18939,4546,II
698,3506,621,III
699,13754,3459,II
700,15007,2477,I
701,142,2726,II
702,20516,2002,III
703,6860,4136,II
704,12776,3189,I
705,13427,4059,II
706,12847,1464,III
707,16034,2737,II
708,17529,4283,I
709,8608,2099,II
710,16365,2489,III
711,15526,3871,II
712,2107,4192,I
713,17326,2202,II
714,2406,3699,III
715,16510,266,II
716,764,4109,I
717,17031,4035,II
718,10855,4926,III
719,277,3118,II
720,7664,3689,I
721,15130,309,II
722,1102,5915,III
723,5906,3960,II
724,4429,1202,I
725,6103,1263,II
726,18986,721,III
727,13117,5061,II
728,16307,869,I
729,6020,4790,II
730,18341,1785,III
731,16668,2577,II
732,3057,1823,I
733,671,4894,II
734,7585,1333,III
735,6132,440,II
736,15691,5072,I
737,18136,3574,II
738,19622,207,III
739,11643,599,II
740,3832,3006,I
741,12455,4201,II
742,16792,5514,III
743,21744,4613,II
744,20609,4174,I
745,18925,1534,II
746,12851,227,III
747,8510,1654,II
748,3611,2966,I
749,20589,1650,II
750,19534,881,III
751,5377,4696,II
752,21738,3597,I
753,13926,1251,II
754,4820,5895,III
755,7110,1104,II
756,21616,5757,I
757,11348,4700,II
758,5072,2011,III
759,1654,1416,II
760,394,3037,I
761,6458,607,II
762,12846,223,III
763,9287,5061,II
764,17446,1637,I
765,7929,4168,II
766,5442,1185,III
767,2192,2517,II
768,5445,2991,I
769,18721,3328,II
770,10868,92,III
771,637,1382,II
772,16314,4301,I
773,2224,5833,II
774,16618,4966,III
775,15246,4210,II
776,19937,3439,I
777,15958,5936,I
778,4515,992,II
779,10046,676,III
780,5670,4580,II
781,9975,4146,I
782,10240,2898,II
783,153,3737,III
784,21714,5619,II
785,17614,5025,I
786,11039,492,II
787,7300,758,III
788,9045,1781,II
789,1542,2527,I
790,17508,4980,II
791,6764,1765,III
792,20553,4953,II
793,19154,3207,I
794,16022,4885,II
795,2041,1031,III
796,16531,2528,II
797,2387,331,I
798,5524,4469,II
799,16296,5823,III
800,10951,4587,II
801,1969,4755,I
802,7927,3034,II
803,18738,3628,III
804,8813,110,II
805,13758,274,I
806,2994,5757,II
807,15137,2193,III
808,3761,2012,II
809,8660,4235,I
810,16607,212,II
811,10904,1706,III
812,7206,772,II
813,10739,3692,I
814,12212,1362,II
815,7367,3851,III
816,21066,1497,II
817,11985,4707,I
818,15713,2567,II
819,20183,2033,III
820,1945,1124,II
821,18914,887,I
822,4611,750,II
823,21538,1310,III
824,4573,680,II
825,13909,1803,I
826,4843,1187,II
827,15091,4189,III
828,7386,4361,II
829,14615,3143,I
830,11937,5709,II
831,5940,5681,III
832,1209,4835,II
833,1769,3159,I
834,13373,1052,II
835,5934,4365,III
836,14631,1794,II
837,13068,2940,I
838,13627,4423,II
839,7555,1715,III
840,19062,1138,II
841,11627,3426,I
842,9896,3524,II
843,15544,1739,III
844,10971,4365,II
845,6256,2990,I
846,8012,1951,II
847,14112,1132,III
848,5400,672,II
849,6585,2167,I
850,12084,4134,II
851,12006,2843,III
852,17087,53,II
853,19618,2644,I
854,20170,1608,II
855,12568,4195,III
856,16737,1302,II
857,18775,1809,I
858,6549,2343,II
859,707,4804,III
860,11478,2187,II
861,20032,70,I
862,522,1802,II
863,10555,5273,III
864,21616,4733,II
865,5892,1766,I
866,1634,67,II
867,1107,2762,III
868,11297,406,II
869,2715,1829,I
870,11573,4506,II
871,19750,909,III
872,2954,1093,II
873,2166,4134,I
874,9855,421,II
875,21140,2024,III
876,2995,1338,II
877,16524,3698,I
878,8496,1970,II
879,1823,5008,III
880,12931,144,II
881,7254,1960,I
882,262,4965,II
883,13845,20,III
884,21672,144,II
885,4971,3196,I
886,6483,828,II
887,6908,4084,III
888,2416,5310,II
889,10050,4704,I
890,7923,4589,II
891,14538,5248,III
892,6974,1090,II
893,5432,5872,I
894,12385,5983,II
895,9266,2499,III
896,20245,60,II
897,10085,53,I
898,18046,5820,II
899,10484,3025,III
900,13623,1484,II
901,7958,2226,I
902,6421,5524,II
903,7814,5339,III
904,17395,2163,II
905,11471,4171,I
906,18890,2491,II
907,6526,1365,III
908,18106,2357,II
909,14500,546,I
910,748,2476,II
911,7522,1993,III
912,11852,1678,II
913,19875,1130,I
914,11817,4576,II
915,15480,4356,III
916,2337,5883,II
917,5647,4824,I
918,21613,4228,II
919,16585,761,III
920,8819,850,II
921,13552,994,I
922,16354,3399,II
923,14184,4546,III
924,11125,603,II
925,9157,59,I
926,12407,5920,II
927,6160,5699,III
928,11589,2893,II
929,18596,5168,I
930,7829,2226,II
931,3864,1723,III
932,8881,675,II
933,364,1214,I
934,7897,4413,II
935,14199,3898,III
936,2178,2992,II
937,12797,3309,I
938,5068,3145,II
939,13503,3542,III
940,14579,5584,II
941,14707,3809,I
942,21468,1433,II
943,21518,3967,III
944,10967,3126,II
945,3370,5805,I
946,4478,3581,II
947,11252,3981,III
948,4337,2180,II
949,736,3292,I
950,13398,3369,II
951,10007,2844,III
952,13361,5860,II
953,15982,3057,I
954,20080,4785,II
955,7806,3059,III
956,7544,4172,II
957,7719,5807,I
958,18694,2209,II
959,15509,1902,III
960,8184,4896,II
961,11328,431,I
962,19055,3813,II
963,8232,1113,III
964,9748,1281,II
965,17781,3570,I
966,21791,3930,II
967,10512,2740,III
968,4600,386,II
969,8435,4775,I
970,13245,5297,II
971,15570,5292,III
972,21501,4729,II
973,9587,2422,I
974,9026,255,II
975,10331,1211,III
976,20993,1495,II
977,19651,1798,I
978,4887,2242,II
979,13620,5540,III
980,4945,2739,II
981,14226,3514,I
982,10630,1122,II
983,71,1222,III
984,8983,967,II
985,3425,5517,I
986,13769,1100,II
987,6927,1103,III
988,17564,1024,II
989,21318,5861,I
990,10699,4574,II
991,19798,2200,III
992,20874,506,II
993,16595,3014,I
994,5962,983,II
995,8748,1945,III
996,9849,3132,II
997,15381,4656,I
998,2266,4234,II
999,5854,941,III
1000,1085,2014,II
1001,12566,2299,I
1002,16143,1874,II
1003,11808,1441,III
1004,17755,3881,II
1005,7372,326,I
1006,9323,3147,II
1007,17678,845,III
1008,10775,479,II
1009,2339,4434,I
1010,10227,4412,II
1011,5525,2205,III
1012,1760,4452,I
1013,18393,5656,II
1014,14995,1879,III
1015,13940,3095,II
1016,12596,711,I
1017,9467,3130,II
1018,14549,4149,III
1019,8831,2172,II
1020,18017,5278,I
1021,8534,1692,II
1022,13902,325,III
1023,9583,2989,II
1024,6138,2833,I
1025,10638,3903,II
1026,11613,5371,III
1027,3908,1831,II
1028,20187,1228,I
1029,19675,1640,II
1030,15240,1838,III
1031,18707,3088,II
1032,6864,496,I
1033,10584,2999,II
1034,4442,1291,III
1035,3451,742,II
1036,19844,4449,I
1037,13593,3579,II
1038,8762,238,III
1039,16045,335,II
1040,1525,3638,I
1041,11447,2984,II
1042,18234,1539,III
1043,1546,5000,II
1044,1023,3339,I
1045,7103,1851,II
1046,1769,994,III
1047,17295,1073,II
1048,14834,5592,I
1049,21369,1270,II
1050,7505,4796,III
1051,10618,1991,II
1052,18728,809,I
1053,13506,2152,II
1054,17332,2220,III
1055,13677,3715,II
1056,5735,1535,I
1057,12188,321,II
1058,12075,2858,III
1059,19612,5431,II
1060,12780,52,I
1061,18469,2841,II
1062,7296,251,III
1063,582,1357,II
1064,14875,4374,I
1065,2975,4296,II
1066,449,1552,III
1067,3206,5998,II
1068,15731,3981,I
1069,10789,5516,II
1070,6320,1299,III
1071,20863,3969,II
1072,17828,1118,I
1073,19431,1620,II
1074,872,2606,III
1075,21381,2799,II
1076,4456,1266,I
1077,2084,5803,II
1078,6759,2513,III
1079,16566,5655,II
1080,7484,3849,I
1081,6294,802,II
1082,12473,5063,III
1083,15244,5149,II
1084,16706,2721,I
1085,8115,5786,II
1086,12228,4730,III
1087,21235,3778,II
1088,14291,2228,I
1089,4575,4417,II
1090,535,3748,III
1091,10801,1445,II
1092,8950,5280,I
1093,4764,5523,II
1094,1043,3350,III
1095,16183,366,II
1096,16795,3172,I
1097,21285,4318,II
1098,10491,260,III
1099,4486,1616,II
1100,7579,5784,I
1101,2975,5571,II
1102,8892,4966,III
1103,21515,975,II
1104,15330,3279,I
1105,14228,499,II
1106,11227,4241,III
1107,4327,3204,II
1108,6373,5227,I
1109,2032,5064,II
1110,3090,1297,III
1111,20335,5057,II
1112,883,5637,I
1113,2688,2959,II
1114,18073,5763,III
1115,10814,864,II
1116,3018,800,I
1117,20498,2482,II
1118,21599,5375,III
1119,3335,2760,II
1120,19346,2258,I
1121,196,2262,II
1122,21324,5092,III
1123,13420,5851,II
1124,7484,2609,I
1125,5738,3657,II
1126,14077,1927,III
1127,7969,5204,II
1128,1154,649,I
1129,14916,2097,II
1130,9610,2851,III
1131,8553,3277,II
1132,7190,1907,I
1133,2531,4886,II
1134,19235,1410,III
1135,3681,2636,II
1136,1610,1532,I
1137,16960,1655,II
1138,8859,2741,III
1139,20976,2705,II
1140,12710,2229,I
1141,7948,5077,II
1142,3084,4575,III
1143,18575,1616,II
1144,12426,5270,I
1145,5097,4606,II
1146,19280,3541,III
1147,1192,5807,II
1148,13723,1011,I
1149,19051,4094,II
1150,6501,3921,III
1151,11442,3360,II
1152,6065,4060,I
1153,16959,5539,II
1154,12085,1331,III
1155,12167,1062,II
1156,9344,4258,I
1157,18703,5336,II
1158,1924,5799,III
1159,21638,5679,II
1160,12853,93,I
1161,38,1837,II
1162,6703,4307,III
1163,5736,5498,II
1164,5510,2421,I
1165,1219,5922,I
1166,8741,4943,II
1167,6473,4064,III
1168,21105,2417,II
1169,10212,4582,I
1170,12125,2765,II
1171,8491,609,III
1172,4951,75,II
1173,4052,4205,I
1174,16482,5590,II
1175,7082,4669,III
1176,6006,3157,II
1177,4033,3506,I
1178,188,1588,II
1179,14853,72,III
1180,19157,3402,II
1181,14327,4777,I
1182,4165,300,II
1183,4556,1630,III
1184,19295,2287,II
1185,14782,1674,I
1186,8327,2921,II
1187,13298,4926,III
1188,2395,1489,II
1189,6549,883,I
1190,8349,489,II
1191,3961,4473,III
1192,3924,532,II
1193,15726,5244,I
1194,17197,1896,II
1195,8816,3677,III
1196,3405,2886,II
1197,13925,5398,I
1198,6132,4609,II
1199,6912,4879,III
1200,16627,1694,II
1201,9055,397,I
1202,13077,3414,II
1203,1792,4237,III
1204,10470,3887,II
1205,20020,3436,I
1206,6219,1116,II
1207,1019,5880,III
1208,20945,2301,II
1209,12842,4816,I
1210,19638,4648,II
1211,12015,5572,III
1212,9561,2230,II
1213,158,4718,I
1214,2755,5748,II
1215,1597,2278,III
1216,6187,3620,II
1217,11095,5343,I
1218,21198,2057,II
1219,302,4665,III
1220,14054,1843,II
1221,16346,4014,I
1222,13573,4884,II
1223,7240,1856,III
1224,20200,3658,II
1225,19049,4783,I
1226,5526,4186,II
1227,433,4088,III
1228,12950,2238,II
1229,2724,2583,I
1230,13445,1361,II
1231,15617,3095,III
1232,18933,936,II
1233,5301,4123,I
1234,7777,1979,II
1235,14895,5351,III
1236,8409,5682,II
1237,2056,2493,I
1238,17421,389,II
1239,19734,4453,III
1240,32,4618,II
1241,6447,2230,I
1242,8529,4761,II
1243,6174,2941,III
1244,1653,2577,II
1245,7841,363,I
1246,855,5858,II
1247,15109,406,III
1248,9412,617,II
1249,163,1901,I
1250,10960,1211,II
1251,20734,13,III
1252,12703,5577,II
1253,3483,3882,I
1254,17115,2881,II
1255,6836,5027,III
1256,18711,5067,II
1257,10705,2335,I
1258,9561,1491,II
1259,15601,1290,III
1260,18478,1380,II
1261,15547,4896,I
1262,10444,149,II
1263,21788,1915,III
1264,11633,5983,II
1265,19555,2233,I
1266,15477,1968,II
1267,9540,2035,III
1268,20232,4324,II
1269,18423,2380,I
1270,21041,4965,II
1271,15341,1930,III
1272,6174,2940,II
1273,13064,1507,I
1274,1651,5884,II
1275,1899,3898,III
1276,3261,5318,II
1277,14102,3820,I
1278,15654,1715,II
1279,15771,1961,III
1280,500,2949,II
1281,18850,535,I
1282,15183,4637,II
1283,14086,984,III
1284,20569,4747,II
1285,12694,4166,I
1286,7898,1512,II
1287,19099,2253,III
1288,11689,3819,II
1289,13298,5916,I
1290,13663,492,II
1291,19608,4403,III
1292,13260,2273,II
1293,16803,4638,I
1294,21077,415,II
1295,8693,4425,III
1296,12985,500,II
1297,2573,2228,I
1298,14164,1461,II
1299,12636,146,III
1300,15066,2765,II
1301,18964,3697,I
1302,5283,2882,II
1303,987,2487,III
1304,14345,5265,II
1305,17799,3060,I
1306,13071,4740,II
1307,14097,1364,III
1308,14476,5901,II
1309,2243,3460,I
1310,6446,4332,II
1311,18168,5961,III
1312,9551,2091,II
1313,14736,4032,I
1314,17779,3520,II
1315,3053,4174,III
1316,20264,4712,II
1317,5296,1093,I
1318,6435,3078,II
1319,14053,3527,III
1320,7029,2856,II
1321,10615,5073,I
1322,4927,2400,II
1323,8140,3941,III
1324,12142,5938,II
1325,12057,876,I
1326,1019,2854,II
1327,21252,3799,III
1328,6203,2598,II
1329,6499,4103,I
1330,13159,5901,II
1331,8231,1980,III
1332,17739,857,II
1333,17259,2812,I
1334,6517,4154,II
1335,15929,2098,III
1336,16733,3380,II
1337,19236,172,I
1338,15401,3072,II
1339,13318,5737,III
1340,8930,5301,II
1341,2900,2142,I
1342,6186,2052,II
1343,7153,4507,III
1344,8502,3038,II
1345,16501,4115,I
1346,10514,1518,II
1347,16323,1385,III
1348,20583,5653,II
1349,2760,3610,I
1350,4018,4471,II
1351,2203,373,III
1352,15186,4044,II
1353,14766,2223,I
1354,21306,451,II
1355,6255,2583,III
1356,17400,32,II
1357,19821,1998,I
1358,12879,2970,II
1359,7489,5540,III
1360,12759,1920,II
1361,3339,5457,I
1362,18985,5279,II
1363,3153,1176,III
1364,780,1527,II
1365,11195,1015,I
1366,17698,4794,II
1367,5737,3767,III
1368,17152,4612,II
1369,11756,3126,I
1370,20800,4775,II
1371,20314,3096,III
1372,1400,4686,II
1373,19937,4036,I
1374,13999,4736,II
1375,11792,2754,III
1376,13034,1632,II
1377,17673,5679,I
1378,8577,5934,II
1379,9652,1821,III
1380,17730,2883,II
1381,3925,430,I
1382,11067,1732,II
1383,19820,173,III
1384,6876,2511,II
1385,18978,2028,I
